"champ";"statut";"annee";"periode";"date du resultat";"ipe";mois_e;semaine_e;ponder;dms;moy_age;med_age;pct_homme;pct_rea;pct_si;pct_sc;annee_e;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";5;;6;6.8333333333;74.5;70.5;83.333333333;0;66.666666667;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";6;;2;4.5;49.5;49.5;50;0;0;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";7;;1;8;64;64;0;0;0;0;2023;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:38:46";="020000253";99;;29;9.5862068966;72.689655172;71;44.827586207;0;51.724137931;3.4482758621;9999;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";12;;1;27;81;81;100;0;0;100;2022;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";1;;6;1.5;62.666666667;58.5;16.666666667;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";2;;1;0;34;34;0;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";5;;3;1.6666666667;76;88;66.666666667;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";6;;1;0;37;37;0;0;0;0;2023;2023.7;X620003376;25AUG23;10:37:19
"mco";"dgf";"2023";"7";"2023/08/25 10:37:58";="620003376";99;;12;3.4166666667;63;58.5;33.333333333;0;0;8.3333333333;9999;2023.7;X620003376;25AUG23;10:37:19
