"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;annee;periode;dep23;nb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890000987;9000098;9000098;I999999;2023;05;576.276;20.158;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I000365;2023;05;92.808;3.636;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I000367;2023;05;76.575;3;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I999999;2023;05;512.741;20.088;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400893280966;9328096;9328096;I999999;2023;05;2406.601;1;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400894537724;9453772;9453772;I999999;2023;05;36.756;6;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400894537892;9453789;9453789;I999999;2023;05;77.188;4;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890000987;9000098;9000098;I000372;2023;06;532.679;18.633;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890000987;9000098;9000098;I000373;2023;06;138.423;4.842;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890000987;9000098;9000098;I999999;2023;06;741.771;25.947;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I000367;2023;06;51.05;2;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I999999;2023;06;1097.408;42.994;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400894537724;9453772;9453772;I999999;2023;06;73.512;12;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400894537892;9453789;9453789;I999999;2023;06;173.673;9;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890000987;9000098;9000098;I000372;2023;07;484.507;16.948;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890000987;9000098;9000098;I000373;2023;07;120.355;4.21;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890000987;9000098;9000098;I999999;2023;07;513.07;17.947;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I000367;2023;07;51.05;2;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400890015189;9001518;9001518;I999999;2023;07;1238.943;48.539;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400894537724;9453772;9453772;I999999;2023;07;104.142;17;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 10:34:02";="590797353";3400894537892;9453789;9453789;I999999;2023;07;135.079;7;2023.7;X590797353;30AUG23;10:32:13
"mco";"dgf";"2023";"7";"2023/08/30 11:30:43";="590782421";3400890002677;9000267;9000267;I000053;2023;03;111.03;3;2023.7;X590782421;30AUG23;11:28:50
"mco";"dgf";"2023";"7";"2023/08/30 14:12:15";="590782165";3400890002653;9000265;9000265;I000051;2023;03;74.022;2;2023.7;X590782165;30AUG23;14:10:49
"mco";"dgf";"2023";"7";"2023/08/30 15:20:12";="590052056";3400894471806;9447180;9447180;I000363;2023;03;136.814;2;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/30 15:20:12";="590052056";3400894471806;9447180;9447180;I000363;2023;04;68.407;1;2023.7;X590052056;30AUG23;15:19:03
"mco";"dgf";"2023";"7";"2023/08/31 10:38:46";="590781415";3400894555063;9455506;9455506;I000375;2023;03;118.436;2;2023.7;X590781415;31AUG23;10:37:00
"mco";"dgf";"2023";"7";"2023/08/31 11:51:26";="590780193";3400894373131;9437313;9437313;I999999;2023;01;4474.843;5;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:26";="590780193";3400894554752;9455475;9455475;I999999;2023;01;31683.643;10.128;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/08/31 11:51:26";="590780193";3400894554813;9455481;9455481;I999999;2023;01;4166.926;6.66;2023.7;X590780193;31AUG23;11:45:29
"mco";"dgf";"2023";"7";"2023/09/01 09:19:43";="600100721";3400890004022;9000402;9000402;I999999;2023;04;576.575;11.863;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:43";="600100721";3400894521754;9452175;9452175;I999999;2023;04;266.486;7.458;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:43";="600100721";3400890004022;9000402;9000402;I999999;2023;05;1378.797;29.093;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:43";="600100721";3400894521754;9452175;9452175;I999999;2023;05;343.062;9.602;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:43";="600100721";3400890004022;9000402;9000402;I999999;2023;06;852.464;18.5;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:43";="600100721";3400894521754;9452175;9452175;I999999;2023;06;159.264;4.458;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:43";="600100721";3400890004022;9000402;9000402;I999999;2023;07;384.809;8.45;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 09:19:43";="600100721";3400894521754;9452175;9452175;I999999;2023;07;165.423;4.629;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:16:39";="620100057";3400890002653;9000265;9000265;I999999;2023;03;562.5;25;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:16:39";="620100057";3400890002677;9000267;9000267;I999999;2023;03;36.25;1;2023.7;X620100057;01SEP23;12:14:44
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400890004022;9000402;9000402;I000372;2023;03;1225.2;24;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400890004022;9000402;9000402;I000373;2023;03;714.7;14;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400894459798;9445979;9445979;I000363;2023;03;19.604;1.2;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400894459798;9445979;9445979;I000364;2023;03;29.406;1.8;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400890004022;9000402;9000402;I000373;2023;04;612.6;12;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400894459798;9445979;9445979;I000364;2023;04;32.672;2;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400890004022;9000402;9000402;I000372;2023;05;816.8;16;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400894459798;9445979;9445979;I000364;2023;05;32.672;2;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400890004022;9000402;9000402;I000372;2023;06;1021;20;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400894459798;9445979;9445979;I000364;2023;06;29.406;1.8;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400890004022;9000402;9000402;I000372;2023;07;612.6;12;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 12:23:17";="600101984";3400894459798;9445979;9445979;I000364;2023;07;29.406;1.8;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894471806;9447180;9447180;I000363;2023;03;933.69;5.158;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894471806;9447180;9447180;I000364;2023;03;763.91;4.22;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894471806;9447180;9447180;I000365;2023;03;474.64;2.622;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894471806;9447180;9447180;I000363;2023;04;650.41;3.593;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894471806;9447180;9447180;I000364;2023;04;266.46;1.472;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894471806;9447180;9447180;I000365;2023;04;121.46;0.671;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894258476;9425847;9425847;I000051;2023;05;574.32;15;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894258537;9425853;9425853;I000051;2023;05;303.747;7;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894471806;9447180;9447180;I000363;2023;05;1028.02;5.679;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894471806;9447180;9447180;I000365;2023;05;959.41;5.3;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 13:08:47";="800000028";3400894471806;9447180;9447180;I999999;2023;05;364.39;2.013;2023.7;X800000028;01SEP23;13:07:27
