"champ";"statut";"annee";"periode";"date du resultat";"ipe";type;ffm;ffm_ssact;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/09 14:38:40";="600100168";FFM;5;0;2023.7;X600100168;09AUG23;14:38:36
"mco";"dgf";"2023";"7";"2023/08/10 13:22:50";="590780227";FFM;0;0;2023.7;X590780227;10AUG23;13:22:39
"mco";"dgf";"2023";"7";"2023/08/18 15:14:40";="020000022";FFM;0;0;2023.7;X020000022;18AUG23;15:14:32
"mco";"dgf";"2023";"7";"2023/08/21 15:04:23";="600100572";FFM;32;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/22 17:50:49";="590782439";FFM;927;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/24 09:38:54";="590781605";FFM;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 12:29:45";="020000253";FFM;0;0;2023.7;X020000253;24AUG23;12:29:35
"mco";"dgf";"2023";"7";"2023/08/25 10:04:24";="620003376";FFM;0;0;2023.7;X620003376;25AUG23;10:04:13
"mco";"dgf";"2023";"7";"2023/08/25 11:33:13";="600100648";FFM;0;0;2023.7;X600100648;25AUG23;11:32:38
"mco";"dgf";"2023";"7";"2023/08/25 12:06:58";="620101337";FFM;0;0;2023.7;X620101337;25AUG23;12:06:41
"mco";"dgf";"2023";"7";"2023/08/25 14:11:43";="020000287";FFM;0;0;2023.7;X020000287;25AUG23;14:11:36
"mco";"dgf";"2023";"7";"2023/08/25 14:48:08";="800000077";FFM;2;0;2023.7;X800000077;25AUG23;14:48:03
"mco";"dgf";"2023";"7";"2023/08/25 15:06:47";="590785374";FFM;0;0;2023.7;X590785374;25AUG23;15:06:41
"mco";"dgf";"2023";"7";"2023/08/28 12:09:48";="590782645";FFM;0;0;2023.7;X590782645;28AUG23;12:09:43
"mco";"dgf";"2023";"7";"2023/08/28 12:52:16";="590782421";FFM;0;0;2023.7;X590782421;28AUG23;12:51:57
"mco";"dgf";"2023";"7";"2023/08/28 14:31:07";="020000063";FFM;0;0;2023.7;X020000063;28AUG23;14:30:50
"mco";"dgf";"2023";"7";"2023/08/28 15:42:15";="020004495";FFM;0;0;2023.7;X020004495;28AUG23;15:42:08
"mco";"dgf";"2023";"7";"2023/08/28 17:55:41";="800000051";FFM;0;0;2023.7;X800000051;28AUG23;17:55:36
"mco";"dgf";"2023";"7";"2023/08/28 18:05:53";="800000036";FFM;0;0;2023.7;X800000036;28AUG23;18:05:49
"mco";"dgf";"2023";"7";"2023/08/29 09:15:23";="020000055";FFM;0;0;2023.7;X020000055;29AUG23;9:15:15
"mco";"dgf";"2023";"7";"2023/08/29 09:49:30";="590782652";FFM;0;0;2023.7;X590782652;29AUG23;9:49:22
"mco";"dgf";"2023";"7";"2023/08/29 11:59:16";="020000261";FFM;0;0;2023.7;X020000261;29AUG23;11:59:04
"mco";"dgf";"2023";"7";"2023/08/29 13:08:33";="620000026";FFM;48;0;2023.7;X620000026;29AUG23;13:08:26
"mco";"dgf";"2023";"7";"2023/08/29 13:23:04";="590065223";FFM;0;0;2023.7;X590065223;29AUG23;13:22:52
"mco";"dgf";"2023";"7";"2023/08/29 14:03:34";="590000600";FFM;0;0;2023.7;X590000600;29AUG23;14:03:29
"mco";"dgf";"2023";"7";"2023/08/29 14:32:39";="620003350";FFM;0;0;2023.7;X620003350;29AUG23;14:32:33
"mco";"dgf";"2023";"7";"2023/08/29 14:46:23";="590781670";FFM;353;1;2023.7;X590781670;29AUG23;14:46:17
