"champ";"statut";"annee";"periode";"date du resultat";"ipe";typ9a;_NAME_;col1;ordre;colb1;colc1;cold1;cole1;colf1;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";3;typA;7;2;5;40;3;4;-25;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";3;entsor7;20;4;32;-37.5;9;23;-60.86956522;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";3;entsor6;0;5;0;;0;0;;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:30:57";="600100168";3;nbmulti;17;6;25;-32;11;15;-26.66666667;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";1;eff;127;1;136;-6.617647059;88;97;-9.278350515;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";1;typA;73;2;61;19.672131148;55;39;41.025641026;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";1;entsor7;0;4;2;-100;0;2;-100;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";1;entsor6;3;5;3;0;2;3;-33.33333333;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";1;nbmulti;0;6;0;;0;0;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";2;eff;78;1;13;500;60;11;445.45454545;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";2;typA;0;2;0;;0;0;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";2;entsor7;0;4;0;;0;0;;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";2;entsor6;28;5;5;460;21;4;425;2023.7;X020000022;18AUG23;15:14:25
"mco";"dgf";"2023";"7";"2023/08/18 15:14:34";="020000022";2;nbmulti;0;6;0;;0;0;;2023.7;X020000022;18AUG23;15:14:25
