"champ";"statut";"annee";"periode";"date du resultat";"ipe";diag;ponder;pct_nn;dms;dur_med;age_moy;age_med;pct_homme;ponder_da;lib;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/31 14:52:31";="600100713";U0713;21;0;11.619047619;9;70.571428571;76;47.619047619;21;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X600100713;31AUG23;14:51:48
"mco";"dgf";"2023";"7";"2023/08/31 15:42:59";="590782215";U0713;26;100;6.1538461538;4;0;0;61.538461538;26;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590782215;31AUG23;15:42:07
"mco";"dgf";"2023";"7";"2023/08/31 16:59:03";="620100685";U0713;1463;0;7.1544771018;5;50.266324591;60;51.742993848;1463;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X620100685;31AUG23;16:57:50
"mco";"dgf";"2023";"7";"2023/08/31 18:53:53";="800000069";U0713;1;0;1;1;69;69;0;1;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X800000069;31AUG23;18:53:23
"mco";"dgf";"2023";"7";"2023/09/01 08:06:49";="020000071";U0713;4;0;14;12;83.75;84;25;4;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X020000071;01SEP23;8:06:20
"mco";"dgf";"2023";"7";"2023/09/01 09:18:52";="600100721";U0713;641;0.1560062402;10.43525741;6;55.840702669;69;52.574102964;641;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X600100721;01SEP23;9:18:13
"mco";"dgf";"2023";"7";"2023/09/01 12:21:35";="600101984";U0713;46;0;8.0434782609;7;55.131685527;69;58.695652174;46;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X600101984;01SEP23;12:20:52
"mco";"dgf";"2023";"7";"2023/09/01 13:08:01";="800000028";U0713;1;0;20;20;92;92;100;1;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X800000028;01SEP23;13:07:27
"mco";"dgf";"2023";"7";"2023/09/01 14:02:51";="590783239";U0713;9;22.222222222;15.777777778;13;59.888888889;74;44.444444444;9;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:55:49";="020000063";U0713;473;0.2114164905;3.1733615222;2;23.107086797;3;46.511627907;473;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/04 15:54:28";="620103432";U0713;3;0;6.6666666667;6;80.333333333;79;33.333333333;3;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:23:56";="590782637";U0713;20;0;15.4;11;67.100136986;74;60;20;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:09:45";="590781803";U0713;174;3.4482758621;7.6781609195;5;68.645551882;73;51.724137931;174;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:41:07";="590780227";U0713;213;1.4084507042;9.6197183099;7;70.995305164;77;51.17370892;213;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590780227;05SEP23;17:40:33
"mco";"dgf";"2023";"7";"2023/09/05 17:45:05";="800000044";U0713;1020;0.5882352941;6.6215686275;3;30.388025786;16;56.568627451;1020;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:15";="590781902";U0713;48;0;2.5;1;57.740353881;68.5;54.166666667;48;U0713  AUTRES EXAMENS ET OBSERVATIONS COVID-19;2023.7;X590781902;07SEP23;20:00:41
