"champ";"statut";"annee";"periode";"date du resultat";"ipe";err;cat;nb1;nb2;nb3;nb4;type;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/01 14:03:24";="590783239";0;3;0;0;3;3;1;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 14:03:24";="590783239";0;4;0;0;5;5;1;2023.7;X590783239;01SEP23;14:02:13
"mco";"dgf";"2023";"7";"2023/09/01 16:56:31";="020000063";0;4;0;0;8;8;1;2023.7;X020000063;01SEP23;16:55:02
"mco";"dgf";"2023";"7";"2023/09/04 15:54:57";="620103432";0;3;0;0;1;1;1;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/04 15:54:57";="620103432";0;4;0;0;4;4;1;2023.7;X620103432;04SEP23;15:53:55
"mco";"dgf";"2023";"7";"2023/09/05 09:24:23";="590782637";0;4;0;0;2;2;1;2023.7;X590782637;05SEP23;9:23:23
"mco";"dgf";"2023";"7";"2023/09/05 12:10:20";="590781803";0;3;0;0;1;1;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 12:10:20";="590781803";0;4;0;0;1;1;1;2023.7;X590781803;05SEP23;12:09:07
"mco";"dgf";"2023";"7";"2023/09/05 17:45:49";="800000044";0;3;0;0;9;9;1;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:49";="800000044";0;4;0;0;15;15;1;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:49";="800000044";0;3;0;0;1;1;3;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/05 17:45:49";="800000044";0;4;0;0;1;1;3;2023.7;X800000044;05SEP23;17:44:11
"mco";"dgf";"2023";"7";"2023/09/07 20:01:44";="590781902";0;3;0;0;1;1;1;2023.7;X590781902;07SEP23;20:00:41
"mco";"dgf";"2023";"7";"2023/09/07 20:01:44";="590781902";0;4;0;0;7;7;1;2023.7;X590781902;07SEP23;20:00:41
