"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nombre;nb_nonval;nombre_i0;nb_nonvalhp;nombre_et2;nombre_pbind;nb_val;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000526;8;0;0;0;0;0;8;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894197232;9419723;9419723;I000629;2;0;0;0;0;0;2;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894250203;9425020;9425020;I000534;3;0;0;0;0;0;3;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894388968;9438896;9438896;I000284;18;0;0;0;0;0;18;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894388968;9438896;9438896;I000287;154;0;0;0;0;0;154;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894388968;9438896;9438896;I000288;35;0;0;0;0;0;35;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894388968;9438896;9438896;I000290;134;0;0;0;0;0;134;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894389798;9438979;9438979;I000266;3;0;0;0;0;0;3;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894389798;9438979;9438979;I000580;16;0;0;0;0;0;16;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894389798;9438979;9438979;I000581;1;0;0;0;0;0;1;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894405450;9440545;9440545;I000499;10;0;0;0;0;0;10;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/11 08:31:39";="600100168";3400894405511;9440551;9440551;I000499;20;0;0;0;0;0;20;2023.7;X600100168;11AUG23;8:30:51
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400890000994;9000099;9000099;I000029;26;0;0;0;0;0;26;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400890000994;9000099;9000099;I000031;3;0;0;0;0;0;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400890001007;9000100;9000100;I000029;57;0;0;0;0;0;57;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400890001007;9000100;9000100;I000031;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400890002653;9000265;9000265;I000051;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400890002653;9000265;9000265;I000053;10;0;0;0;0;0;10;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400890002653;9000265;9000265;I999999;8;0;0;0;0;0;8;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400890002677;9000267;9000267;I000051;10;0;0;0;0;0;10;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400890002677;9000267;9000267;I000053;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400890002677;9000267;9000267;I999999;1;0;0;0;0;0;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400890007351;9000735;9000735;I000203;8;0;0;0;0;0;8;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400892137377;9213737;9213737;I000287;70;0;0;0;0;0;70;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400892137377;9213737;9213737;I000290;15;0;0;0;0;0;15;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400892137377;9213737;9213737;I000292;49;0;0;0;0;0;49;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893001813;9300181;9300181;I000268;51;0;0;0;0;0;51;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893011119;9301111;9301111;I000106;37;0;0;0;0;0;37;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893011119;9301111;9301111;I000107;1;0;0;0;0;0;1;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893011119;9301111;9301111;I000109;10;0;0;0;0;0;10;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893011119;9301111;9301111;I999999;23;0;0;0;0;0;23;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893011287;9301128;9301128;I000106;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893011287;9301128;9301128;I000109;6;0;0;0;0;0;6;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893047767;9304776;9304776;I999999;4;0;0;0;0;0;4;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893071779;9307177;9307177;I000359;3;0;0;0;0;0;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893071830;9307183;9307183;I000359;4;0;0;0;0;0;4;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126523;9312652;9312652;I000272;22;0;0;0;0;0;22;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126523;9312652;9312652;I000273;14;0;0;0;0;0;14;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126523;9312652;9312652;I000277;3;0;0;0;0;0;3;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126523;9312652;9312652;I000278;5;0;0;0;0;0;5;2023.7;X020000253;24AUG23;14:38:01
"mco";"dgf";"2023";"7";"2023/08/24 14:39:24";="020000253";3400893126523;9312652;9312652;I999999;2;0;0;0;0;0;2;2023.7;X020000253;24AUG23;14:38:01
