"champ";"statut";"annee";"periode";"date du resultat";"ipe";unite;code;nb;mnt_br;mnt_remb;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;ADA;1;109.24;99.910904;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;ADC;118;5614.23;4701.506647;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;ADI;492;10178.95;8586.62554;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;AMI;2205;10584.5985;8913.9536514;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;AMS;29;430.65;350.755515;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;ATM;138;2383.04;2023.26639;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;AXI;31;896.52;714.167832;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;C;107;2461;2161.1628;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;CS;1;23;19.5546;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;END;46;3994;3083.5744;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;G;1380;34500;29223.03;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;MPC;1;2;1.7088;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;PA0;7;1773.75;1504.8495;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;PT0;2;193.5;157.1994;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;RS0;1;21.5;17.78695;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/29 16:27:57";="620100651";10;SDE;136;7456.9;5835.72563;2023.7;X620100651;29AUG23;16:27:45
"mco";"dgf";"2023";"7";"2023/08/30 14:08:11";="620101360";01;G;71;1775;1467.5;2023.7;X620101360;30AUG23;14:08:01
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";05;ADE;1;100.2;70.14;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";05;AMI;1449;4911.6375;4543.4025;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";05;ATM;2;48.82;48.82;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";05;CS;434;9982;9599.0707;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";05;MCS;427;2135;2070.5;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";05;MOP;16;80;80;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";05;MPC;441;882;848.7112;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";05;TC;3;69;69;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";05;TE2;10;200;200;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;AMI;4;18.9;18.9;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;APC;42;2310;2260.5;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;APY;121;7562.5;7018.75;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;ATM;109;7560.86;6990.62;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;CNP;306;13005;11451.625;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;CS;100;2300;2234.45;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;G;208;5200;5055;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;G   N;1;60;60;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;MCG;209;1045;1016;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;MCS;401;2005;1811;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;MOP;288;1440;1440;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";06;MPC;406;1026.2;921.815;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";07;APC;35;1925;1727;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";07;APY;347;21687.5;17631.15625;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";07;ATM;1;14.26;9.982;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";07;CNP;3372;143310;115653.66475;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";07;MCS;3;15;10.5;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";07;MPC;3372;9104.4;7347.14388;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";10;ADC;19;1080.15;904.72543;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";10;ADE;4;385.96;328.953708;2023.7;X620100685;30AUG23;15:53:57
"mco";"dgf";"2023";"7";"2023/08/30 15:54:11";="620100685";10;ADI;145;2957.37;2489.88192;2023.7;X620100685;30AUG23;15:53:57
