"champ";"statut";"annee";"periode";"date du resultat";"ipe";code;nb;valobr;valoam;nbe;valobre;nbinc;valobrinc;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";FU0;37;1881.45;1830.6;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";FU1;1918;55516.04;53739.43;3;84.84;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";FU2;2933;102540.46;95999.48;39;1363.44;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";FU3;1898;77497.9;71616.78;24;982.24;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";FU4;738;36117.99;35874.29;5;243.7;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";G;503;12575;9120;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";G   F;1;44.06;35.248;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";MCC;62;202.74;169.059;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";MCG;523;2615;1914.5;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";MCS;7285;36425;27580;100;500;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";MOP;1723;8615;8605;1;5;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";MPC;8715;17460.1;13162.35;141;282.7;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";MSF;498;996;909.8;6;12;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";PE1;35;956.55;901.89;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";PE2;329;4119.08;4031.44;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SAS;145;3586.28;3388.26;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SB2;1030;53775.75;50121.45;18;940.08;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SB3;1305;71293.76;67081.93;32;1754.93;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SE1;359;30264.797629;26114.531269;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SE2;208.5;14073.839112;13238.059259;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SE3;36;1622.363579;1378.4184274;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
"mco";"dgf";"2023";"7";"2023/09/07 20:07:06";="590781902";SE4;38;859.044413;777.811094;0;0;0;0;2023.7;X590781902;07SEP23;20:06:41
