"champ";"statut";"annee";"periode";"date du resultat";"ipe";tremb2;mtm0;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/29 10:20:11";="600100648";80;montant TM non numérique ou à 0;105;3.108348135;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:11";="600100648";80f;montant TM numérique;6;0.1776198934;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:11";="600100648";80f;montant TM non numérique ou à 0;11;0.3256364713;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 10:20:11";="600100648";90;montant TM numérique;6;0.1776198934;2023.7;X600100648;29AUG23;10:19:13
"mco";"dgf";"2023";"7";"2023/08/29 13:05:55";="620000026";100;montant TM non numérique ou à 0;4319;61.253722876;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:55";="620000026";100f;montant TM non numérique ou à 0;6;0.0850943129;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:55";="620000026";80;montant TM numérique;1056;14.976599064;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:55";="620000026";80;montant TM non numérique ou à 0;1274;18.068359098;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:55";="620000026";80f;montant TM numérique;75;1.0636789108;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:55";="620000026";80f;montant TM non numérique ou à 0;320;4.5383633527;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 13:05:55";="620000026";90;montant TM numérique;1;0.0141823855;2023.7;X620000026;29AUG23;13:05:03
"mco";"dgf";"2023";"7";"2023/08/29 14:21:53";="620003350";100;montant TM non numérique ou à 0;2306;67.015402499;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:53";="620003350";80;montant TM numérique;1132;32.897413543;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:21:53";="620003350";90;montant TM numérique;3;0.0871839582;2023.7;X620003350;29AUG23;14:20:57
"mco";"dgf";"2023";"7";"2023/08/29 14:23:45";="590000600";100;montant TM non numérique ou à 0;647;67.536534447;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:45";="590000600";80;montant TM numérique;302;31.524008351;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:45";="590000600";80f;montant TM non numérique ou à 0;8;0.8350730689;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:23:45";="590000600";90;montant TM numérique;1;0.1043841336;2023.7;X590000600;29AUG23;14:23:02
"mco";"dgf";"2023";"7";"2023/08/29 14:25:26";="620025346";100;montant TM non numérique ou à 0;6425;70.065430752;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:26";="620025346";100f;montant TM non numérique ou à 0;507;5.5288985823;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:26";="620025346";80;montant TM numérique;1699;18.52780807;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:26";="620025346";80;montant TM non numérique ou à 0;396;4.3184296619;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:26";="620025346";80f;montant TM numérique;4;0.0436205016;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:26";="620025346";80f;montant TM non numérique ou à 0;134;1.4612868048;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:26";="620025346";90;montant TM numérique;3;0.0327153762;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:25:26";="620025346";90;montant TM non numérique ou à 0;2;0.0218102508;2023.7;X620025346;29AUG23;14:24:34
"mco";"dgf";"2023";"7";"2023/08/29 14:40:57";="590001749";100;montant TM non numérique ou à 0;1981;63.513946778;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:40:57";="590001749";80;montant TM numérique;1138;36.486053222;2023.7;X590001749;29AUG23;14:40:05
"mco";"dgf";"2023";"7";"2023/08/29 14:47:06";="590781670";100;montant TM non numérique ou à 0;841;76.52411283;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:06";="590781670";80;montant TM numérique;254;23.111919927;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:47:06";="590781670";80;montant TM non numérique ou à 0;4;0.3639672429;2023.7;X590781670;29AUG23;14:46:17
"mco";"dgf";"2023";"7";"2023/08/29 14:51:58";="020000261";100;montant TM non numérique ou à 0;15809;67.450294394;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:58";="020000261";100f;montant TM non numérique ou à 0;3965;16.916972438;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:58";="020000261";80;montant TM numérique;2925;12.479733766;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:58";="020000261";80;montant TM non numérique ou à 0;657;2.8031401997;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:58";="020000261";80f;montant TM numérique;23;0.0981312399;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:58";="020000261";80f;montant TM non numérique ou à 0;54;0.2303950849;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 14:51:58";="020000261";90;montant TM numérique;5;0.0213328782;2023.7;X020000261;29AUG23;14:50:19
"mco";"dgf";"2023";"7";"2023/08/29 16:14:36";="620100651";100;montant TM numérique;1;0.0035550499;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:36";="620100651";100;montant TM non numérique ou à 0;21304;75.736784102;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:36";="620100651";100f;montant TM non numérique ou à 0;638;2.2681218671;2023.7;X620100651;29AUG23;16:13:10
"mco";"dgf";"2023";"7";"2023/08/29 16:14:36";="620100651";80;montant TM numérique;5899;20.971239646;2023.7;X620100651;29AUG23;16:13:10
