"champ";"statut";"annee";"periode";"date du resultat";"ipe";code1;mnt_avb;mnt_am_avb;mnt_apb;mnt_am_apb;mnt;mnt_am;mnt_br_fides;mnt_remb_fides;cpt;mnt_am_mat2a;mnt_am_fides;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2023";"7";"2023/08/21 15:04:29";="600100572";ATU;0;0;0;0;0;0;0;0;1;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:29";="600100572";FFM;0;0;0;0;0;0;0;0;2;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:29";="600100572";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:29";="600100572";FTN;0;0;0;0;0;0;0;0;4;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:29";="600100572";CCAM;1308.64;1097.612;0;0;1308.64;135152.7905;168066.09;134055.1785;5;1097.612;134055.1785;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:29";="600100572";SE;0;0;0;0;0;0;0;0;6;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:29";="600100572";NGAP;60;48;0;0;60;229763.404;305068.075;229715.404;7;48;229715.404;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:29";="600100572";DMI;0;0;0;0;0;0;0;0;8;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:29";="600100572";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:29";="600100572";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/21 15:04:29";="600100572";URGENCE;0;0;0;0;0;0;0;0;13;0;0;2023.7;X600100572;21AUG23;15:04:16
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";ATU;0;0;0;0;0;0;0;0;1;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";FFM;18733.732343;15373.253577;0;0;18733.732343;15373.253577;0;0;2;15373.253577;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";FTN;0;0;0;0;0;0;0;0;4;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";CCAM;65573.28;54440.682;0;0;65573.28;276862.4895;280122.04;222421.8075;5;54440.682;222421.8075;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";SE;11054.278243;10920.655906;0;0;11054.278243;10920.655906;0;0;6;10920.655906;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";NGAP;-24;-24;0;0;-24;200696.0174;256022.4665;200720.0174;7;-24;200720.0174;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";DMI;0;0;0;0;0;0;0;0;8;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";INNOVATION;0;0;0;0;0;0;0;0;12;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/22 17:50:54";="590782439";URGENCE;0;0;0;0;0;0;0;0;13;0;0;2023.7;X590782439;22AUG23;17:50:43
"mco";"dgf";"2023";"7";"2023/08/24 09:39:02";="590781605";ATU;27964.010388;24319.77774;0;0;27964.010388;24319.77774;0;0;1;24319.77774;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:02";="590781605";FFM;0;0;0;0;0;0;0;0;2;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:02";="590781605";DIALYSE;0;0;0;0;0;0;0;0;3;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:02";="590781605";FTN;59204.2355;59204.2355;0;0;59204.2355;1367716.581;1308512.3455;1308512.3455;4;59204.2355;1308512.3455;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:02";="590781605";CCAM;55536.46;47301.374;0;0;55536.46;830019.83596;949411.53;782718.46196;5;47301.374;782718.46196;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:02";="590781605";SE;28901.296012;25352.847951;0;0;28901.296012;25352.847951;0;0;6;25352.847951;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:02";="590781605";NGAP;45986.478;42251.134;0;0;45986.478;1119306.2057;1335067.259;1077055.0717;7;42251.134;1077055.0717;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:02";="590781605";DMI;0;0;0;0;0;0;0;0;8;0;0;2023.7;X590781605;24AUG23;9:38:44
"mco";"dgf";"2023";"7";"2023/08/24 09:39:02";="590781605";MED;0;0;0;0;0;0;0;0;9;0;0;2023.7;X590781605;24AUG23;9:38:44
