"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;nb;nbok;dep;montant;per_comp;finess_comp;date_comp;temp_comp
"mco";"dgf";"2022";"12";"2023/01/27 15:27:10";="020000287";3400894405450;9440545;I000541;9440545;38;38;76388.74;76388.588;2022.12;X020000287;27JAN23;15:25:51
"mco";"dgf";"2022";"12";"2023/01/30 16:36:26";="590782421";3400892600109;9260010;I000367;9260010;23.96;23.96;4135.971;7660.75476;2022.12;X590782421;30JAN23;16:34:36
"mco";"dgf";"2022";"12";"2023/01/30 16:36:26";="590782421";3400894389798;9438979;I001003;9438979;12;12;29774.124;29774.124;2022.12;X590782421;30JAN23;16:34:36
"mco";"dgf";"2022";"12";"2023/01/30 16:36:26";="590782421";3400894405450;9440545;I000541;9440545;49.96;36.86;100431.09;74096.93036;2022.12;X590782421;30JAN23;16:34:36
"mco";"dgf";"2022";"12";"2023/01/30 16:36:26";="590782421";3400894405511;9440551;I000541;9440551;101.09;74.59;48770.87;35986.24386;2022.12;X590782421;30JAN23;16:34:36
"mco";"dgf";"2022";"12";"2023/01/31 18:15:09";="590782165";3400893740507;9374050;I001004;9374050;4;4;11721.08;11721.08;2022.12;X590782165;31JAN23;18:13:48
"mco";"dgf";"2022";"12";"2023/01/31 18:15:09";="590782165";3400894094692;9409469;I001003;9409469;12;12;4962.24;4962.36;2022.12;X590782165;31JAN23;18:13:48
"mco";"dgf";"2022";"12";"2023/01/31 18:15:09";="590782165";3400894094692;9409469;I001005;9409469;3;3;1240.56;1240.59;2022.12;X590782165;31JAN23;18:13:48
"mco";"dgf";"2022";"12";"2023/01/31 18:15:09";="590782165";3400894389798;9438979;I001003;9438979;4;4;9924.68;9924.708;2022.12;X590782165;31JAN23;18:13:48
"mco";"dgf";"2022";"12";"2023/01/31 18:15:09";="590782165";3400894389798;9438979;I001005;9438979;24;24;59548.08;59548.248;2022.12;X590782165;31JAN23;18:13:48
"mco";"dgf";"2022";"12";"2023/01/31 19:17:30";="590781415";3400892600109;9260010;I000367;9260010;23.04;0;2043.913;0;2022.12;X590781415;31JAN23;19:15:33
"mco";"dgf";"2022";"12";"2023/01/31 19:17:30";="590781415";3400893913444;9391344;I000539;9391344;3.18;0;9510.848;0;2022.12;X590781415;31JAN23;19:15:33
"mco";"dgf";"2022";"12";"2023/01/31 19:17:30";="590781415";3400894274674;9427467;I000503;9427467;0.2;0;66.126;0;2022.12;X590781415;31JAN23;19:15:33
"mco";"dgf";"2022";"12";"2023/01/31 19:17:30";="590781415";3400894389798;9438979;I000266;9438979;2.5;0;6324.192;0;2022.12;X590781415;31JAN23;19:15:33
"mco";"dgf";"2022";"12";"2023/01/31 19:17:30";="590781415";3400894405450;9440545;I000541;9440545;17.95;17.95;36792.533;36083.5567;2022.12;X590781415;31JAN23;19:15:33
"mco";"dgf";"2022";"12";"2023/01/31 19:17:30";="590781415";3400894405511;9440551;I000541;9440551;5.96;5.96;2932.014;2875.42584;2022.12;X590781415;31JAN23;19:15:33
"mco";"dgf";"2022";"12";"2023/01/31 19:17:30";="590781415";3400894459798;9445979;I000367;9445979;0.52;0;44.854;0;2022.12;X590781415;31JAN23;19:15:33
"mco";"dgf";"2022";"12";"2023/02/01 08:57:18";="620101360";3400894274674;9427467;I000503;9427467;4;4;1526.4;2883.212;2022.12;X620101360;01FEB23;8:55:58
"mco";"dgf";"2022";"12";"2023/02/03 09:32:18";="600100713";3400893740507;9374050;I001004;9374050;6;6;17581.62;17581.62;2022.12;X600100713;03FEB23;9:30:34
"mco";"dgf";"2022";"12";"2023/02/03 09:32:18";="600100713";3400894389798;9438979;I001005;9438979;13;13;32255.313;32255.301;2022.12;X600100713;03FEB23;9:30:34
"mco";"dgf";"2022";"12";"2023/02/03 11:57:34";="600101984";3400893892589;9389258;I001000;9389258;1;0;0;0;2022.12;X600101984;03FEB23;11:55:38
"mco";"dgf";"2022";"12";"2023/02/03 12:02:22";="020000063";3400893740507;9374050;I001004;9374050;8;8;23442.16;23442.16;2022.12;X020000063;03FEB23;12:00:13
"mco";"dgf";"2022";"12";"2023/02/03 12:02:22";="020000063";3400894094692;9409469;I001005;9409469;6;6;2481.18;2481.18;2022.12;X020000063;03FEB23;12:00:13
"mco";"dgf";"2022";"12";"2023/02/03 12:02:22";="020000063";3400894389798;9438979;I001003;9438979;1;1;2481.18;2481.177;2022.12;X020000063;03FEB23;12:00:13
"mco";"dgf";"2022";"12";"2023/02/03 12:02:22";="020000063";3400894389798;9438979;I001005;9438979;10;10;24811.8;24811.77;2022.12;X020000063;03FEB23;12:00:13
