"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;nb;nb1;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/28 15:59:50";="800000085";Nb journées avec sortie transfert ou mutation;0;0;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:50";="800000085";Nb journées valorisées;0;0;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:58";="800000093";Nb journées transmises;0;0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:58";="800000093";Nb journées en erreur;0;0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:58";="800000093";Nb journées avec sortie transfert ou mutation;0;0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:58";="800000093";Nb journées valorisées;0;0;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:51";="800000523";Nb journées transmises;0;0;0;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:51";="800000523";Nb journées en erreur;0;0;0;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:51";="800000523";Nb journées avec sortie transfert ou mutation;0;0;0;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:51";="800000523";Nb journées valorisées;0;0;0;2022.11;X800000523;22DEC22;10:53:02
