"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;annee;mois;COUNT;PERCENT;noligne;nonval;count1;evol;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS transmis;2022;1;83;10.709677419;1;;79;5.0632911392;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de présence;2022;1;845;;3;;936;-9.722222222;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS transmis;2022;2;86;11.096774194;1;;70;22.857142857;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de présence;2022;2;759;;3;;956;-20.60669456;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS transmis;2022;3;64;8.2580645161;1;;77;-16.88311688;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de présence;2022;3;929;;3;;1087;-14.53541858;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS transmis;2022;4;60;7.7419354839;1;;68;-11.76470588;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de présence;2022;4;923;;3;;958;-3.653444676;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS transmis;2022;5;61;7.8709677419;1;;60;1.6666666667;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de présence;2022;5;881;;3;;968;-8.987603306;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS transmis;2022;6;69;8.9032258065;1;;66;4.5454545455;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de présence;2022;6;927;;3;;993;-6.64652568;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS transmis;2022;7;69;8.9032258065;1;;67;2.9850746269;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de présence;2022;7;924;;3;;1013;-8.785784798;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS transmis;2022;8;64;8.2580645161;1;;69;-7.246376812;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de présence;2022;8;905;;3;;934;-3.104925054;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS transmis;2022;9;67;8.6451612903;1;;57;17.543859649;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de présence;2022;9;862;;3;;832;3.6057692308;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nombre de RAPSS transmis;2022;10;72;9.2903225806;1;;60;20;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:14";="020000022";Nb de journées de présence;2022;10;980;;3;;835;17.365269461;2022.11;X020000022;27DEC22;13:05:07
