"champ";"statut";"annee";"periode";"date du resultat";"ipe";acte;nb;nbocc;nbsej;nbseq;N;pctsej;pctseq;pctsseq;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 11:33:59";="800000523";Total;133;133;122;129;129;8.2044384667;4.7513812155;2.3840325263;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:05";="800000036";Total;;;0;0;0;0;0;0;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:01";="800000077";Total;;;0;0;0;0;0;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";HSLD001;2544;2544;38;104;179;13.919413919;21.987315011;23.246753247;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";HSLF002;520;521;30;39;58;10.989010989;8.245243129;7.5324675325;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";GELD005;338;340;16;29;40;5.8608058608;6.1310782241;5.1948051948;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";ANMP001;126;126;60;97;126;21.978021978;20.507399577;16.363636364;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";GGJB001;50;50;1;1;4;0.3663003663;0.2114164905;0.5194805195;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";JDLD001;38;38;25;29;36;9.1575091575;6.1310782241;4.6753246753;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:29";="800000069";Total;3616;3619;148;273;411;54.212454212;57.716701903;53.376623377;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:28";="590782652";QZGA010;199;199;199;199;199;22.25950783;12.383322962;9.5857418112;2022.12;X590782652;30JAN23;11:42:15
