"champ";"statut";"annee";"periode";"date du resultat";"ipe";cage;COUNT;PERCENT;countm;percentm;countf;percentf;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:39";="800000093";3;1;0.395256917;1;0.78125;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:39";="800000093";4;12;4.743083004;5;3.90625;7;5.6;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:39";="800000093";5;34;13.438735178;22;17.1875;12;9.6;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:39";="800000093";6;84;33.201581028;50;39.0625;34;27.2;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:39";="800000093";7;122;48.221343874;50;39.0625;72;57.6;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";1;2;0.4576659039;2;0.8695652174;;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";2;3;0.6864988558;1;0.4347826087;2;0.9661835749;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";3;4;0.9153318078;2;0.8695652174;2;0.9661835749;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";4;24;5.4919908467;15;6.5217391304;9;4.347826087;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";5;63;14.416475973;33;14.347826087;30;14.492753623;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";6;141;32.265446224;91;39.565217391;50;24.154589372;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:18";="600100713";7;200;45.766590389;86;37.391304348;114;55.072463768;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:33:53";="800000523";0;15;1.0087424344;12;1.4652014652;3;0.4491017964;2022.12;X800000523;26JAN23;11:33:47
