"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;mpca;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:35";="590780193";18;00;9;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2023/01/03 14:07:41";="800000028";18;00;1;2022.11;X800000028;03JAN23;14:07:11
