"champ";"statut";"annee";"periode";"date du resultat";"ipe";catjseq;COUNT;PERCENT;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/26 10:01:35";="800000077";4;31;31;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:35";="800000077";5;100;100;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:27";="800000085";1;66;25;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:27";="800000085";2;53;20.075757576;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:27";="800000085";3;80;30.303030303;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:27";="800000085";4;65;24.621212121;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:27";="800000085";5;264;100;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";1;46;18.181818182;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";2;83;32.806324111;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";3;84;33.201581028;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";4;40;15.81027668;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:25";="800000093";5;253;100;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:16";="800000523";1;259;11.848124428;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:16";="800000523";2;373;17.063129003;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:16";="800000523";3;623;28.499542543;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:16";="800000523";4;931;42.589204026;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:16";="800000523";5;2186;100;2022.11;X800000523;22DEC22;10:53:02
