"champ";"statut";"annee";"periode";"date du resultat";"ipe";diags;age2;nb;nbrapss;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:37:49";="590048476";R54+8;62;1;2;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:33";="590780193";R5210;0;2;2;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:33";="590780193";Z508;0;2;3;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:33";="590780193";Z559;0;1;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/22 10:53:38";="800000523";Z372;0;1;1;2022.11;X800000523;22DEC22;10:53:02
