"champ";"statut";"annee";"periode";"date du resultat";"ipe";catavqpsy;nbj;pctj;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";1;4263;70.439524124;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";2;1789;29.560475876;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";9;6052;100;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";1;7793;74.903883122;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";2;2611;25.096116878;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";9;10404;100;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:33:57";="800000523";1;55689;58.13594179;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:57";="800000523";2;40102;41.86405821;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:57";="800000523";9;95791;100;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:02";="800000036";1;3316;62.969996202;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:02";="800000036";2;1950;37.030003798;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:02";="800000036";9;5266;100;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:43:59";="800000077";1;2960;75.088787418;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:59";="800000077";2;982;24.911212582;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:43:59";="800000077";9;3942;100;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:26";="800000069";1;8035;78.36730713;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:26";="800000069";2;2218;21.63269287;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:26";="800000069";9;10253;100;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:26";="590782652";1;13952;82.429398558;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:26";="590782652";2;2974;17.570601442;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:26";="590782652";9;16926;100;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:12";="020000022";1;7030;66.433566434;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:12";="020000022";2;3552;33.566433566;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:12";="020000022";9;10582;100;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:49:55";="800000085";1;5161;73.445282482;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:55";="800000085";2;1866;26.554717518;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:49:55";="800000085";9;7027;100;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:15";="590048476";1;14024;74.742844961;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:15";="590048476";2;4739;25.257155039;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:15";="590048476";9;18763;100;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:42";="800000028";1;7343;81.652396308;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:42";="800000028";2;1650;18.347603692;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:42";="800000028";9;8993;100;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:01";="590780193";1;22756;97.841602889;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:01";="590780193";2;502;2.1583971107;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:01";="590780193";9;23258;100;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:44";="600100721";1;5391;70.673833246;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:44";="600100721";2;2237;29.326166754;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:44";="600100721";9;7628;100;2022.12;X600100721;13FEB23;16:00:35
