"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess_esms;nbjtot;nbje;nbjsupp;nbjsupp2;nbjval;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590015038;11;10;0;0;10;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590791679;64;64;0;0;64;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590792610;91;91;0;0;91;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590792669;11;11;0;0;11;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590794160;79;79;0;0;79;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590794962;61;61;0;0;61;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590799235;24;24;0;0;24;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590801379;46;45;0;0;45;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:00";="590048476";590807723;4;4;0;0;4;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:42";="590780193";590008777;9;9;0;0;9;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:42";="590780193";590792628;5;4;0;0;4;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590006110;407;406;0;0;406;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590794954;3;3;0;0;3;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590797601;226;226;0;0;226;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:36";="590782652";590809349;5;5;0;0;5;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600101133;55;53;0;0;53;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600107858;56;55;0;0;55;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:52";="600100713";600108526;72;69;0;0;69;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/03 14:07:47";="800000028";800006975;161;160;0;0;160;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:47";="800000028";800007510;127;127;0;0;127;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:47";="800000028";800008971;31;30;0;0;30;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:47";="800000028";800009003;477;475;0;0;475;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:39";="800000036";800006140;661;657;0;0;657;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";800005837;287;287;0;0;287;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";800007528;13;12;0;0;12;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:50";="800000069";800009151;25;25;0;0;25;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";800008708;93;93;0;0;93;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";800009037;160;159;0;0;159;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:48";="800000085";800009334;362;361;0;0;361;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800005829;89;89;0;0;89;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800005837;269;268;0;0;268;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800008708;693;689;0;0;689;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800009003;768;764;0;0;764;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800009342;1154;1149;0;0;1149;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800009953;334;332;0;0;332;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:46";="800000523";800523128;601;598;0;0;598;2022.11;X800000523;22DEC22;10:53:02
