"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;diagp;eff_sej;eff_mon;dep22;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400890009041;9000904;9000904;CSOTO01;C782;1;240;7549.92;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400890009041;9000904;9000904;NXXXX01;C782;1;240;7549.92;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:48";="600100713";3400890018586;9001858;9001858;CSOTO01;C782;1;636;13580.072;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400890002554;9000255;9000255;NXXXX02;C539;1;54;8019.54;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400890007887;9000788;9000788;CACAL02;C913;2;70;7611.8;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400890009041;9000904;9000904;NSOTO05;C349;2;480;15100.8;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400892993195;9299319;9299319;CURSO01;C910;3;3;171.54;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400892993195;9299319;9299319;CURSO01;Q442;1;1;57.18;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400892993195;9299319;9299319;NXXXX00;Q442;1;1;57.18;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894159032;9415903;9415903;NXXXX02;E840;2;224;20367.64;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894162513;9416251;9416251;COSIM02;C341;2;360;62555.13;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894162513;9416251;9416251;COSIM02;C343;1;30;5213.94;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894162513;9416251;9416251;COSIM02;C348;1;60;10427.88;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894178941;9417894;9417894;CDEXA01;C900;1;7;142.94;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894228080;9422808;9422808;CVENE01;C911;1;70;3408.72;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894228080;9422808;9422808;CVENE01;C920;1;14;681.75;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894228202;9422820;9422820;CVENE01;C911;1;14;347.4;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894459910;9445991;9445991;NXXXX02;C343;2;120;15760.58;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;C711;1;60;76.58;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;E1150;1;30;38.29;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;G8100;1;90;114.87;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;I5002;1;120;153.16;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;I5009;1;30;38.29;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;I7021;1;60;76.58;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;S8220;1;30;38.29;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;Z895;1;30;38.29;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:34";="800000523";3400894501244;9450124;9450124;CDAPA01;Z896;1;90;114.87;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/27 16:29:59";="800000069";3400892461458;9246145;9246145;NUBID05;H498;2;50;83.2;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:59";="800000069";3400894078036;9407803;9407803;CRIFA01;K703;1;58;310.88;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:59";="800000069";3400894501244;9450124;9450124;CDAPA01;C20;1;8;10.208;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:59";="800000069";3400894501244;9450124;9450124;CDAPA01;I743;1;18;26.028;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:37";="020000022";3400890009249;9000924;9000924;CEMPA01;J860;1;12;14.4;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:37";="020000022";3400894501244;9450124;9450124;CDAPA01;N046;1;40;44.92;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/02 15:57:17";="800000028";3400894060925;9406092;9406092;NIMMU06;J841;1;8;1600.92;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:17";="800000028";3400894060925;9406092;9406092;NIMMU06;Z942;2;12;2401.38;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:17";="800000028";3400894060925;9406092;9406092;NIMMU07;Z942;1;16;3201.84;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:17";="800000028";3400894061007;9406100;9406100;NIMMU06;J841;1;2;1940.72;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:17";="800000028";3400894061007;9406100;9406100;NIMMU06;Z942;2;7;6792.52;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:17";="800000028";3400894061007;9406100;9406100;NIMMU07;J841;1;2;1940.72;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:17";="800000028";3400894061007;9406100;9406100;NIMMU07;Z942;1;8;7762.88;2022.12;X800000028;02FEB23;15:56:32
