"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;nb;nb1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:06";="800000093";Nb journées transmises;6052;486;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:06";="800000093";Nb journées en erreur;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:06";="800000093";Nb journées avec sortie transfert ou mutation;4;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:06";="800000093";Nb journées ES/EMS/SSIAD/SPASAD hors convention;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:06";="800000093";Nb journées avec incohérences fichier de convention (cf tableaux [1.Q.10.CONV]);0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:06";="800000093";Nb journées avec pbs de chainage;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:06";="800000093";Nb journées avec pbs de codage des variables bloquantes;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:06";="800000093";Nb journées non facturables à l'AM;19;4;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:06";="800000093";Nb journées valorisées;6029;482;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";Nb journées transmises;10404;671;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";Nb journées en erreur;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";Nb journées avec sortie transfert ou mutation;98;;2022.12;X600100713;26JAN23;9:22:12
