"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;mpcp;mpca;ikmin;ikmax;N;nbseq;nbj;pctj;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";1012;09;00;50;50;36;16;679;11.219431593;16;13;33.615384615;11.219431593;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0403;04;06;30;30;17;5;355;5.8658294779;5;;;17.085261071;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0258;03;01;30;30;37;30;279;4.6100462657;30;27;9.2962962963;21.695307336;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0252;03;00;60;60;27;18;262;4.3291473893;18;18;14.555555556;26.024454726;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0617;06;01;40;40;9;1;259;4.2795769993;1;;;30.304031725;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0367;04;00;40;40;13;5;249;4.1143423662;5;3;76;34.418374091;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0325;03;14;30;30;16;10;219;3.6186384666;10;8;20;38.037012558;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0375;04;01;30;30;17;12;218;3.6021150033;12;8;19;41.639127561;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";1573;14;09;40;40;8;2;195;3.222075347;2;1;64;44.861202908;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0206;02;14;30;30;14;9;187;3.0898876404;9;4;23.75;47.951090549;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0382;04;02;30;30;20;14;181;2.9907468605;14;3;9.6666666667;50.941837409;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0055;01;09;30;30;7;1;178;2.9411764706;1;1;178;53.88301388;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0816;07;14;40;40;7;2;169;2.7924653007;2;2;84.5;56.67547918;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0265;03;02;30;30;12;7;147;2.4289491077;7;3;15;59.104428288;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";1085;09;14;30;30;6;1;144;2.3793787178;1;1;144;61.483807006;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0416;04;09;40;40;5;2;110;1.817580965;2;2;55;63.301387971;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";1084;09;14;40;40;9;7;104;1.7184401851;7;5;15.8;65.019828156;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0374;04;01;40;40;4;1;98;1.6192994052;1;;;66.639127561;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0383;04;02;10;20;12;10;98;1.6192994052;10;2;6;68.258426966;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0295;03;08;40;40;12;9;97;1.6027759418;9;9;10.777777778;69.861202908;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0417;04;09;30;30;4;2;87;1.4375413087;2;;;71.298744217;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";1515;13;09;40;40;4;1;87;1.4375413087;1;;;72.736285525;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";1013;09;00;40;40;6;3;84;1.3879709187;3;2;29.5;74.124256444;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0404;04;06;10;20;7;6;77;1.2723066755;6;1;3;75.39656312;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0369;04;00;10;20;17;14;74;1.2227362855;14;8;4.625;76.619299405;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0368;04;00;30;30;10;7;72;1.1896893589;7;5;10.2;77.808988764;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";0205;02;14;40;40;4;2;67;1.1070720423;2;2;33.5;78.916060806;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";80%;;;10;60;340;197;4776;;;;;78.916060806;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:42";="800000093";Tous;;;10;60;486;301;6052;;253;201;17.940298507;100;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0368;04;00;30;30;52;52;1589;15.272971934;49;8;45.625;15.272971934;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";1011;09;00;60;60;26;26;857;8.2372164552;26;19;32.315789474;23.510188389;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";1976;07;04;10;20;141;141;614;5.9015763168;139;80;4.6125;29.411764706;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0252;03;00;60;60;25;25;489;4.7001153403;25;21;21.666666667;34.111880046;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0878;08;00;50;50;10;10;463;4.4502114571;7;4;53;38.562091503;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";1975;07;04;30;30;31;31;379;3.6428296809;31;2;7;42.204921184;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";1012;09;00;50;50;16;16;366;3.5178777393;16;12;21.583333333;45.722798923;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0367;04;00;40;40;12;12;288;2.76816609;12;2;48.5;48.490965013;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";1013;09;00;40;40;11;11;252;2.4221453287;11;5;18.6;50.913110342;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0403;04;06;30;30;3;3;242;2.3260284506;3;2;10.5;53.239138793;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0445;04;13;30;30;13;13;237;2.2779700115;9;3;21;55.517108804;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";1985;09;00;30;30;8;8;219;2.1049596309;8;4;39.5;57.622068435;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0369;04;00;10;20;28;28;218;2.0953479431;28;13;5.0769230769;59.717416378;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0375;04;01;30;30;14;14;217;2.0857362553;14;3;4.6666666667;61.803152634;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0945;08;13;50;50;5;5;204;1.9607843137;3;;;63.763936947;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0902;08;05;50;50;1;1;176;1.691657055;1;;;65.455594002;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0444;04;13;40;40;11;11;165;1.585928489;10;3;20.666666667;67.041522491;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0879;08;00;40;40;13;13;162;1.5570934256;7;;;68.598615917;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0417;04;09;30;30;6;6;149;1.432141484;5;1;14;70.030757401;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";0884;08;01;40;40;7;7;136;1.3071895425;5;1;11;71.337946943;2022.12;X600100713;26JAN23;9:22:12
