"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcad;N;nbseq;nbj;ik;avqphysm;avqpsym;agem;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";09;78;42;1241;30;13.253827558;3.6929895246;82.343271555;22;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";13;118;82;1147;40;10.099389712;3.6408020924;69.135135135;24;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";01;66;40;890;20;15.317977528;6.2337078652;66.370786517;17;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";11;33;20;478;30;14.259414226;2.9832635983;66.790794979;10;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";15;23;12;395;20;15.486075949;5.1215189873;66.848101266;7;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";25;26;18;293;30;13.76109215;4.5460750853;83.395904437;5;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";12;22;17;190;40;12.810526316;5.1368421053;73.473684211;5;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";02;16;14;132;30;12.045454545;3.5454545455;71.886363636;8;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";06;16;14;103;40;13.019417476;6.1553398058;57.009708738;5;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";14;10;9;83;30;15.409638554;5.156626506;68.578313253;9;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:11";="020000022";10;2;1;36;20;16;6;56;1;2022.12;X020000022;31JAN23;11:17:03
