"champ";"statut";"annee";"periode";"date du resultat";"ipe";nat_sej;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;nbsej;pctcum;mpcacodm;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:32";="020000022";04;14;4;303;100;30;10.97029703;4;73.402640264;1;2;100;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:32";="020000022";99;14;4;303;;30;10.97029703;4;73.402640264;1;2;100;85.714285714;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:44";="590048476";;;;;;;;;;;;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:44";="590048476";99;0;0;;;;;;;0;0;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:28";="590780193";;;;;;;;;;;;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:28";="590780193";99;0;0;;;;;;;0;0;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:25";="590782652";;;;;;;;;;;;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:25";="590782652";99;0;0;;;;;;;0;0;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:40";="600100713";08;1;1;46;100;30;15;4;44;1;1;100;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:40";="600100713";99;1;1;46;;30;15;4;44;1;1;100;100;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:50";="600100721";;;;;;;;;;;;;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:50";="600100721";99;0;0;;;;;;;0;0;;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:35";="800000028";;;;;;;;;;;;;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:35";="800000028";99;0;0;;;;;;;0;0;;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:29";="800000036";;;;;;;;;;;;;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:29";="800000036";99;0;0;;;;;;;0;0;;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:36";="800000069";08;6;4;113;64.204545455;50;10.566371681;3.9203539823;75.637168142;4;4;64.204545455;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:36";="800000069";07;2;1;32;18.181818182;60;4;2;82;1;1;82.386363636;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:36";="800000069";04;1;1;31;17.613636364;50;10;2;69;1;1;100;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:36";="800000069";99;9;6;176;;50;9.2727272727;3.2329545455;75.625;6;6;100;66.666666667;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:45";="800000077";;;;;;;;;;;;;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:45";="800000077";99;0;0;;;;;;;0;0;;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:38";="800000085";;;;;;;;;;;;;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:38";="800000085";99;0;0;;;;;;;0;0;;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:40";="800000093";;;;;;;;;;;;;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:40";="800000093";99;0;0;;;;;;;0;0;;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:31";="800000523";;;;;;;;;;;;;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:31";="800000523";99;0;0;;;;;;;0;0;;;2022.11;X800000523;22DEC22;10:53:02
