"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;mpcp;mpca;ikmin;ikmax;N;nbj;pctj;nbsej;nbsejc;dms;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";;;;;;;;;;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:45";="020000022";Tous;;;;;0;;;0;0;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:38:06";="590048476";;;;;;;;;;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:38:06";="590048476";Tous;;;;;0;;;0;0;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:46";="590780193";1753;19;00;60;60;16;202;84.87394958;14;9;11.888888889;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:46";="590780193";1752;19;00;70;70;5;24;10.084033613;5;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:46";="590780193";0499;05;06;60;60;2;5;2.1008403361;2;2;2.5;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:46";="590780193";0477;05;00;60;60;3;4;1.6806722689;3;3;1.3333333333;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:46";="590780193";0265;03;02;30;30;1;3;1.2605042017;1;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:46";="590780193";Tous;;;30;70;27;238;;20;14;8.2857142857;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:39";="590782652";;;;;;;;;;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:39";="590782652";Tous;;;;;0;;;0;0;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:56";="600100713";;;;;;;;;;;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:56";="600100713";Tous;;;;;0;;;0;0;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:23:05";="600100721";;;;;;;;;;;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:05";="600100721";Tous;;;;;0;;;0;0;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:52";="800000028";;;;;;;;;;;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:52";="800000028";Tous;;;;;0;;;0;0;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:42";="800000036";;;;;;;;;;;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:42";="800000036";Tous;;;;;0;;;0;0;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:54";="800000069";;;;;;;;;;;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:54";="800000069";Tous;;;;;0;;;0;0;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:57";="800000077";;;;;;;;;;;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:57";="800000077";Tous;;;;;0;;;0;0;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:50";="800000085";;;;;;;;;;;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:50";="800000085";Tous;;;;;0;;;0;0;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:58";="800000093";;;;;;;;;;;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:58";="800000093";Tous;;;;;0;;;0;0;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:52";="800000523";;;;;;;;;;;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:52";="800000523";Tous;;;;;0;;;0;0;;2022.11;X800000523;22DEC22;10:53:02
