"champ";"statut";"annee";"periode";"date du resultat";"ipe";combmpc;mpcp;mpca;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;pctcum;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";;99;;671;671;10404;;40;9.9370434448;3.5970780469;69.103542631;284;100;437;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0900;09;00;457;204;8765;9.1501289265;40;7.8996006845;2.8880775813;66.585396463;196;9.1501289265;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0914;09;14;349;134;7352;7.6750425405;30;12.092491839;3.9570184984;74.835010881;150;16.825171467;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0409;04;09;392;216;6105;6.3732500966;30;13.825552826;5.1351351351;80.246519247;239;23.198421564;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0400;04;00;376;220;5941;6.2020440334;30;14.244908265;5.771418953;83.666891096;249;29.400465597;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0911;09;11;265;111;5437;5.6758985708;30;12.146956042;3.7717491264;78.778002575;143;35.076364168;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0411;04;11;263;130;4705;4.9117349229;20;14.067162593;5.6337938363;81.400850159;175;39.988099091;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";1411;14;11;233;101;4595;4.7969015878;30;13.629162133;4.9521218716;81.726441785;103;44.785000679;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0406;04;06;242;128;3887;4.0577924857;20;14.698996656;5.2727038847;59.594031387;142;48.842793164;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0811;08;11;138;53;3170;3.3092879289;30;11.999053628;4.5242902208;72.855829048;94;52.152081093;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0814;08;14;140;55;3092;3.227860655;30;12.882276843;4.1397153946;73.95084088;103;55.379941748;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0413;04;13;173;82;3033;3.1662682298;30;9.6765578635;3.6458951533;70.944279591;110;58.546209978;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";1412;14;12;123;49;2480;2.5889697362;30;13.802822581;4.010483871;68.854435484;48;61.135179714;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0412;04;12;115;47;2312;2.4135879154;30;14.717560554;5.0519031142;53.384083045;70;63.54876763;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0401;04;01;181;123;2310;2.4115000365;20;13.784415584;5.4800865801;82.633333333;163;65.960267666;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0800;08;00;91;42;1819;1.8989257863;40;11.733919736;4.6531061023;60.655915112;76;67.859193452;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0405;04;05;105;60;1739;1.8154106336;30;11.410580794;4.4318573893;70.645773433;82;69.674604086;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";1200;12;00;89;48;1486;1.5512939629;40;7.5168236878;3.3882907133;60.508748318;73;71.225898049;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0609;06;09;73;32;1307;1.3644288086;30;13.110941086;3.9441469013;59.82938026;60;72.590326857;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0809;08;09;55;29;1085;1.1326742596;30;11.07281106;3.530875576;64.396313364;68;73.723001117;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0511;05;11;55;27;1059;1.1055318349;30;10.682719547;2.6326723324;75.69782814;23;74.828532952;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0407;04;07;137;110;1025;1.070037895;20;14.36;6.0019512195;74.210731707;161;75.898570847;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0611;06;11;44;16;992;1.0355878945;30;14.470766129;4.341733871;64.172379032;26;76.934158741;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0907;09;07;48;21;987;1.0303681974;40;8.7061803445;3.2755825735;63.667679838;39;77.964526939;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";1214;12;14;46;19;910;0.9499848629;30;11.496703297;4.467032967;63.561538462;69;78.914511802;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";0612;06;12;48;21;905;0.9447651658;30;14.491712707;4.7767955801;63.186740331;28;79.859276968;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";;98;;4238;2078;76498;;30;12.414125953;4.5111557916;73.113548093;920;79.859276968;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:56";="800000523";;99;;5411;2715;95791;;30;12.077105365;4.3369105657;70.590754015;1106;100;1487;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0900;09;00;69;33;1134;21.534371439;50;4.5978835979;2.6596119929;61.182539683;25;21.534371439;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0400;04;00;52;32;765;14.527155336;40;14.611764706;4.8117647059;84.385620915;27;36.061526776;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0409;04;09;37;17;617;11.716672997;40;15.021069692;4.9659643436;85.082658023;11;47.778199772;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0401;04;01;47;40;355;6.7413596658;30;15.797183099;4.8169014085;80.391549296;36;54.519559438;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0914;09;14;14;5;271;5.1462210406;30;15.985239852;6.332103321;90.918819188;7;59.665780479;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0407;04;07;37;32;203;3.8549183441;20;15.778325123;6.6305418719;75.679802956;22;63.520698823;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0614;06;14;15;8;196;3.7219901253;40;14.505102041;5.4132653061;78.556122449;12;67.242688948;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0705;07;05;9;4;160;3.038359286;50;4;2;40.38125;5;70.281048234;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0800;08;00;20;18;138;2.6205848842;50;8.6739130435;4.5942028986;75.81884058;7;72.901633118;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0402;04;02;13;11;104;1.9749335359;30;12.923076923;4.7019230769;67.480769231;13;74.876566654;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0300;03;00;14;9;98;1.8609950627;60;7.6428571429;2.9285714286;75.897959184;10;76.737561717;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";0302;03;02;12;9;93;1.766046335;30;10.870967742;3.5053763441;48.784946237;14;78.503608052;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:01";="800000036";;98;;339;218;4134;;40;11.844869348;4.4634574884;74.31420516;103;78.503608052;;2022.12;X800000036;26JAN23;14:45:52
