"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;ikmin;ikmax;N;nbseq;nbj;pctcum;nbsej;nbsejc;dms;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:53";="800000093";Tous;10;60;56;41;407;100;38;35;9.7428571429;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:33";="600100713";Tous;20;70;24;24;301;100;18;11;11.727272727;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:11";="800000523";Tous;10;40;90;49;1490;100;32;16;31.1875;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:16";="800000036";Tous;20;70;23;21;166;100;20;19;8.5263157895;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:09";="800000077";Tous;30;50;5;5;43;100;5;5;8.6;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:41";="800000069";Tous;30;50;5;4;44;100;4;4;11;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:40";="590782652";Tous;10;90;38;29;279;100;16;7;8.1428571429;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:22";="020000022";Tous;20;30;11;3;242;100;2;0;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:09";="800000085";Tous;10;50;9;7;73;100;5;4;14.5;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:27";="590048476";Tous;10;60;72;54;772;100;45;40;8.6;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:57";="800000028";Tous;10;40;3;2;11;100;2;2;5.5;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:16";="590780193";Tous;30;30;5;3;89;100;2;1;14;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:59";="600100721";Tous;30;40;5;3;77;100;3;3;25.666666667;2022.12;X600100721;13FEB23;16:00:35
