"champ";"statut";"annee";"periode";"date du resultat";"ipe";dmpp;N;nbj;pctj;nbsej;nbj2;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";L89;79;1033;3.72037744;41;600;30.620182958;L89;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";C34;95;916;3.2989987755;48;454;33.919181733;C34;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";C79;90;885;3.187351437;50;771;37.10653317;C79;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";R54;117;748;2.6939422315;75;748;39.800475402;R54;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";J69;61;726;2.6147086365;25;283;42.415184038;J69;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";Z51;83;723;2.6039040553;44;723;45.019088093;Z51;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";F01;72;514;1.8511849024;41;327;46.870272996;F01;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";C50;45;478;1.7215299287;18;244;48.591802924;C50;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";U07;33;463;1.667507023;15;50;50.259309947;U07;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";S82;30;417;1.5018367788;17;151;51.761146726;S82;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";A41;47;387;1.3937909674;31;226;53.154937694;A41;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";I77;26;342;1.2317222502;12;216;54.386659944;I77;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";I70;19;337;1.213714615;9;98;55.600374559;I70;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";M86;25;334;1.2029100339;13;176;56.803284593;M86;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";Z99;34;330;1.1885039257;21;330;57.991788518;Z99;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";M48;13;329;1.1849023986;1;329;59.176690917;M48;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";C39;21;319;1.1488871281;9;17;60.325578045;C39;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";C93;59;317;1.141684074;56;9;61.467262119;C93;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";I50;40;290;1.0444428438;21;149;62.511704963;I50;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";D46;66;284;1.0228336815;58;16;63.534538644;D46;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";R45;47;262;0.9436000864;34;262;64.478138731;R45;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";J96;25;242;0.8715695455;12;126;65.349708276;J96;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";L05;24;234;0.8427573291;13;0;66.192465605;L05;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";Z50;25;229;0.8247496939;15;228;67.017215299;Z50;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";N10;30;225;0.8103435857;20;93;67.827558885;N10;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";E14;18;222;0.7995390045;11;208;68.62709789;E14;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";C20;23;219;0.7887344234;11;51;69.415832313;C20;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";I66;11;214;0.7707267882;4;214;70.186559101;I66;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";R13;16;206;0.7419145718;6;206;70.928473673;R13;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";C25;29;202;0.7275084636;12;146;71.655982136;C25;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";J90;23;199;0.7167038824;14;135;72.372686019;J90;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";G30;21;197;0.7095008284;7;147;73.082186847;G30;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";I87;12;197;0.7095008284;3;124;73.791687676;I87;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";C78;22;175;0.6302672333;9;175;74.421954909;C78;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";T87;14;172;0.6194626522;8;163;75.041417561;T87;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";C71;20;171;0.6158611251;7;53;75.657278686;C71;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";Z96;12;170;0.6122595981;5;170;76.269538284;Z96;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";T85;12;168;0.605056544;7;102;76.874594828;T85;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";I69;7;162;0.5834473817;2;162;77.45804221;I69;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";I33;17;156;0.5618382194;12;20;78.019880429;I33;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";T81;15;156;0.5618382194;10;22;78.581718649;T81;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";Z93;12;140;0.5042137866;8;128;79.085932435;Z93;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";I78;8;139;0.5006122596;3;17;79.586544695;I78;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";80%;1541;14119;;858;6583;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:25";="590048476";Tot;1915;16832;;1098;6876;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";Z35;387;5266;14.064044014;247;1468;14.064044014;Z35;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";Z51;1586;4347;11.609646663;1491;1605;25.673690676;Z51;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";Z45;397;3883;10.37042972;310;2458;36.044120396;Z45;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";Z97;277;3378;9.0217130038;138;2565;45.0658334;Z97;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";Z48;142;1789;4.7779291189;81;1754;49.843762519;Z48;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";O24;137;1548;4.1342841119;77;1102;53.978046631;O24;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";Z74;63;1413;3.7737360788;31;1413;57.75178271;Z74;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";P92;140;1331;3.5547365329;82;981;61.306519243;P92;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";O42;93;1309;3.4959805571;42;394;64.8024998;O42;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";F41;91;865;2.3101781374;53;865;67.112677937;F41;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";Z60;50;792;2.115215127;32;577;69.227893064;Z60;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";P07;75;730;1.9496301044;42;647;71.177523169;P07;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";R52;59;666;1.7787036295;37;666;72.956226798;R52;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";O26;60;652;1.7413134631;33;261;74.697540261;O26;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";O36;49;527;1.4074726918;28;480;76.105012953;O36;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";Z43;18;512;1.3674117993;9;482;77.472424752;Z43;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";C79;25;425;1.1350586224;13;425;78.607483375;C79;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";C78;30;404;1.0789733729;18;404;79.686456748;C78;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:13";="590780193";80%;2947;19780;;2298;9102;;;2022.11;X590780193;30DEC22;11:03:01
