"champ";"statut";"annee";"periode";"date du resultat";"ipe";codegeo;N;pct;nbj;pctj;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";18190;1;0.4166666667;30;0.4957038995;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";59491;1;0.4166666667;8;0.1321877065;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";59C05;0;0;103;1.7019167217;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";62124;1;0.4166666667;35;0.5783212161;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";80200;133;55.416666667;3146;51.982815598;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";80320;18;7.5;725;11.979510905;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";80360;19;7.9166666667;546;9.0218109716;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";80400;2;0.8333333333;26;0.4296100463;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";80700;3;1.25;39;0.6444150694;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";80740;18;7.5;376;6.2128222075;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";80999;4;1.6666666667;62;1.0244547257;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";80C01;12;5;292;4.8248512888;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";80C02;27;11.25;660;10.90548579;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";99999;1;0.4166666667;4;0.0660938533;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";Total;240;100;6052;100;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";27140;1;0.2457002457;1;0.0096116878;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";35780;1;0.2457002457;7;0.0672818147;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60000;118;28.992628993;2684;25.797770088;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60110;42;10.319410319;1029;9.8904267589;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60112;7;1.7199017199;121;1.1630142253;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60119;3;0.7371007371;58;0.5574778931;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60120;16;3.9312039312;378;3.6332179931;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60130;2;0.4914004914;7;0.0672818147;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60155;1;0.2457002457;20;0.1922337562;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60175;1;0.2457002457;64;0.61514802;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60210;14;3.4398034398;536;5.1518646674;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60220;11;2.7027027027;701;6.7377931565;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60240;24;5.8968058968;944;9.0734332949;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60330;1;0.2457002457;28;0.2691272587;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60360;13;3.1941031941;443;4.2579777009;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60370;6;1.4742014742;132;1.2687427912;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:19";="600100713";60380;7;1.7199017199;64;0.61514802;2022.12;X600100713;26JAN23;9:22:12
