"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcad;N;nbseq;nbj;ik;avqphysm;avqpsym;agem;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";09;73;40;1137;40;13.111697449;3.6024626209;82.058047493;21;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";13;110;77;1057;40;9.8949858089;3.5534531693;68.722800378;22;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";01;57;33;796;20;15.364321608;6.2298994975;66.374371859;13;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";11;29;18;417;30;14.223021583;2.8345323741;65.136690647;9;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";15;22;11;364;20;15.442307692;5.0467032967;67.090659341;7;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";25;26;18;293;30;13.76109215;4.5460750853;83.395904437;5;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";12;18;14;154;40;12.097402597;4.5649350649;75.051948052;3;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";02;16;14;132;30;12.045454545;3.5454545455;71.886363636;8;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";06;16;14;103;40;13.019417476;6.1553398058;57.009708738;5;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";14;9;8;81;30;15.469135802;5.1851851852;69.234567901;8;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";10;2;1;36;20;16;6;56;1;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";05;3;3;27;40;15.259259259;4.2962962963;91;1;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";17;1;1;6;30;12;7;61;1;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";99;329;219;4603;30;13.097545079;4.2930697371;72.161199218;72;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:22";="590048476";07;6;4;25;20;15.6;5.52;86.04;2;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:22";="590048476";01;1;1;5;20;16;7;62;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:22";="590048476";99;7;5;30;20;15.666666667;5.7666666667;82.033333333;3;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";25;93;73;1010;70;7.4871287129;3.8059405941;27.149168588;54;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";04;51;41;548;40;12.187956204;3.7390510949;61.642960704;34;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";07;45;37;488;40;12.631147541;3.8729508197;62.536885246;31;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";09;21;13;363;40;11.341597796;2.4132231405;62.415977961;12;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";11;23;18;247;40;12.016194332;2.6720647773;72.623481781;18;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";08;16;13;228;30;13.627192982;4.4561403509;61.824561404;10;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";13;14;11;224;40;11.482142857;3.1607142857;64.321428571;8;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";01;18;14;202;40;11.747524752;3.8811881188;70.45049505;13;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";03;17;12;193;30;11.595854922;3.7720207254;58.642487047;7;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";06;15;11;151;50;9.1523178808;2.9271523179;36.741721854;6;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";14;11;9;109;30;12.385321101;3.6513761468;72.110091743;9;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";12;2;1;56;30;15;6;87;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";24;4;3;33;40;11.878787879;2;66.818181818;3;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";10;1;1;21;50;10;2;46;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";02;2;2;5;50;8;4;13;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";05;1;1;5;40;11;4;67;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:11";="590780193";99;227;176;3883;50;10.828998197;3.574298223;53.622972634;130;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";07;84;68;510;30;13.198039216;2.7196078431;67.782352941;29;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";01;54;44;441;40;11.113378685;3.1678004535;62.702947846;23;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";09;20;13;313;40;11.357827476;2.6006389776;70.188498403;6;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";11;36;27;293;40;9.7064846416;2.3174061433;71.515358362;7;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";14;20;14;212;40;13.438679245;2.1462264151;50.278301887;7;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";06;3;1;57;30;16;2;71;1;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";03;7;7;42;40;10.023809524;2.7619047619;74;1;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";13;1;1;24;50;8;2;70;1;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";25;1;1;1;30;15;4;73;1;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:10";="590782652";99;189;143;1893;40;11.843634443;2.6487057581;65.880084522;65;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:23";="600100713";01;19;19;238;30;11.067226891;3.2983193277;66.008403361;14;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:23";="600100713";07;5;5;137;40;7.9197080292;3.4598540146;36.576642336;3;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:23";="600100713";14;1;1;51;30;15;7;58;1;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:23";="600100713";09;1;1;29;20;16;6;88;1;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:23";="600100713";02;2;2;21;40;11.80952381;3.8571428571;58.285714286;2;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:23";="600100713";08;1;1;21;30;15;7;60;1;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:23";="600100713";06;2;2;19;40;10;2;61;1;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:23";="600100713";05;1;1;1;40;5;2;58;1;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:23";="600100713";99;32;32;517;30;11.036750484;3.9806576402;57.895551257;23;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:34";="600100721";99;0;0;;;;;;0;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:19";="800000028";99;0;0;;;;;;0;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:13";="800000036";99;0;0;;;;;;0;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";01;43;31;353;40;10.130311615;3.6543909348;69.373937677;19;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";11;23;10;347;50;9.4005763689;2.2968299712;58.07204611;6;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";12;14;5;295;50;11.53559322;2.2440677966;85.491525424;4;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";14;17;11;205;40;13.390243902;3.1658536585;69.770731707;10;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";09;12;8;165;50;9.6848484848;2.3939393939;40.412121212;8;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";13;14;10;110;50;9.9545454545;2.4909090909;69.118181818;5;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";07;15;13;109;40;12.926605505;2.9174311927;66.779816514;12;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";02;5;4;32;30;11.75;5;61.0625;3;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";05;3;2;23;30;15;2;77;1;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";03;1;1;14;40;11;3;34;1;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";17;2;1;13;50;8;2;57;1;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";06;1;1;3;30;15;2;77;1;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:17";="800000069";99;125;80;1669;40;10.85200719;2.7950868784;66.43858598;57;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:32";="800000077";99;0;0;;;;;;0;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:24";="800000085";99;0;0;;;;;;0;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:20";="800000093";99;0;0;;;;;;0;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:12";="800000523";14;15;5;334;30;16;4.0209580838;50.547904192;1;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:12";="800000523";99;15;5;334;30;16;4.0209580838;50.547904192;1;2022.11;X800000523;22DEC22;10:53:02
