"champ";"statut";"annee";"periode";"date du resultat";"ipe";ghpcp;ghtp1;nb_seq;nbrapss;nbj;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 11:34:14";="800000523";9999;01;4;4;29;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:14";="800000523";9999;02;3;3;58;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:14";="800000523";9999;03;8;8;131;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:20";="800000036";9999;11;1;1;20;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:20";="800000036";9999;17;1;1;9;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 16:29:46";="800000069";9999;08;1;1;3;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:46";="800000069";9999;14;1;2;32;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:45";="590782652";9999;04;1;2;34;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:45";="590782652";9999;10;1;2;19;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/02/02 14:56:30";="590048476";9999;05;1;1;23;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:30";="590048476";9999;06;1;1;30;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:30";="590048476";9999;10;1;1;15;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/06 14:15:20";="590780193";9999;03;1;1;14;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:20";="590780193";9999;15;1;1;14;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:20";="590780193";9999;16;1;1;2;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:20";="590780193";9999;17;2;2;11;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:20";="590780193";9999;99;8;8;30;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:01:03";="600100721";9999;17;4;4;30;2022.12;X600100721;13FEB23;16:00:35
