"champ";"statut";"annee";"periode";"date du resultat";"ipe";nbrapss;lib;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:03";="800000093";87;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:03";="800000093";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:03";="800000093";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:03";="800000093";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:43";="600100713";119;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:43";="600100713";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:43";="600100713";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:43";="600100713";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:28";="800000523";331;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:28";="800000523";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:28";="800000523";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:28";="800000523";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:29";="800000036";159;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:29";="800000036";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:29";="800000036";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:29";="800000036";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:19";="800000077";18;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:19";="800000077";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:19";="800000077";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:19";="800000077";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:54";="800000069";59;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:54";="800000069";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:54";="800000069";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:54";="800000069";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:55";="590782652";427;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:55";="590782652";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:55";="590782652";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:55";="590782652";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:32";="020000022";15;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:32";="020000022";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:32";="020000022";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:32";="020000022";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:20";="800000085";137;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:20";="800000085";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:20";="800000085";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:20";="800000085";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:39";="590048476";632;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:39";="590048476";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:39";="590048476";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:39";="590048476";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:57:11";="800000028";69;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:11";="800000028";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:11";="800000028";0;Dont Finess ESMS renseigné et type domicile différent d'ESMS/SSIAD/SPASAD;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:11";="800000028";0;Dont Finess ESMS vide et type domicile égal à ESMS/SSIAD/SPASAD;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:39";="590780193";29;Nombre total de RAPSS supposés en ESMS/SSIAD/SPASAD;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:39";="590780193";0;Nombre de RAPSS avec incohérence entre type de domicile et Finess ESMS/SSIAD/SPASAD;2022.12;X590780193;06FEB23;14:14:49
