"champ";"statut";"annee";"periode";"date du resultat";"ipe";das;N;nbj;pctj;nbsej;nbj2;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";Z75;3;18;51.428571429;2;3;51.428571429;Z75;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";R53;1;8;22.857142857;1;0;74.285714286;R53;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";80%;4;26;;3;3;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:44";="800000093";Tot;6;32;;4;3;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";C78;54;678;10.552529183;21;426;10.552529183;C78;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";C79;37;432;6.7237354086;19;212;17.276264591;C79;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";N18;12;431;6.7081712062;10;322;23.984435798;N18;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";E10;16;323;5.0272373541;11;259;29.011673152;E10;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";Z93;17;322;5.0116731518;11;72;34.023346304;Z93;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";R26;9;210;3.2684824903;7;108;37.291828794;R26;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";E11;18;182;2.8326848249;10;100;40.124513619;E11;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";I50;4;163;2.5369649805;3;163;42.661478599;I50;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:23";="600100713";D61;1;146;2.2723735409;1;146;44.93385214;D61;2022.12;X600100713;26JAN23;9:22:12
