"champ";"statut";"annee";"periode";"date du resultat";"ipe";nat_sej;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;nbsej;pctcum;mpcacodm;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:28";="020000022";05;8;1;207;85.537190083;30;12;4;96.502415459;1;1;85.537190083;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:28";="020000022";04;3;2;35;14.462809917;30;13.342857143;6;96;1;1;100;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:28";="020000022";99;11;3;242;;30;12.194214876;4.2892561983;96.429752066;1;2;100;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:41";="590048476";04;40;27;468;88.97338403;40;14.854700855;4.3952991453;85.952991453;3;19;88.97338403;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:41";="590048476";08;6;3;49;9.3155893536;40;14.489795918;3.7346938776;84.367346939;2;3;98.288973384;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:41";="590048476";07;1;1;9;1.711026616;30;16;6;75;1;1;100;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:41";="590048476";99;47;31;526;;40;14.840304183;4.36121673;85.617870722;3;23;100;91.489361702;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:25";="590780193";04;5;3;89;100;30;14.842696629;4;61.662921348;1;2;100;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:25";="590780193";99;5;3;89;;30;14.842696629;4;61.662921348;1;2;100;100;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:23";="590782652";04;20;16;163;68.20083682;30;14.987730061;5.1349693252;89.030674847;2;7;68.20083682;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:23";="590782652";08;11;7;65;27.19665272;50;10.276923077;2.8461538462;87.307692308;1;5;95.39748954;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:23";="590782652";05;2;2;11;4.6025104603;40;13;5.2727272727;89.545454545;1;2;100;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:23";="590782652";99;33;25;239;;40;13.615062762;4.5188284519;88.585774059;2;14;100;63.636363636;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:36";="600100713";05;17;17;236;78.405315615;50;7.343220339;2.7330508475;72.792372881;2;12;78.405315615;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:36";="600100713";04;5;5;50;16.611295681;40;9;2.96;88.2;1;5;95.016611296;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:36";="600100713";07;2;2;15;4.9833887043;60;4;2;38;1;1;100;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:36";="600100713";99;24;24;301;;50;7.4518272425;2.7342192691;73.617940199;2;18;100;58.333333333;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:48";="600100721";05;3;1;48;62.337662338;40;12;8;63;1;1;62.337662338;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:48";="600100721";07;1;1;17;22.077922078;30;16;8;90;1;1;84.415584416;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:48";="600100721";08;1;1;12;15.584415584;40;12;4;78;1;1;100;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:48";="600100721";99;5;3;77;;40;12.883116883;7.3766233766;71.298701299;1;3;100;20;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:33";="800000028";04;3;2;11;100;30;14.727272727;4.8181818182;90;1;2;100;;2022.11;X800000028;03JAN23;14:07:11
