"champ";"statut";"annee";"periode";"date du resultat";"ipe";acte;nb;nbocc;nbsej;nbseq;N;pctsej;pctseq;pctsseq;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";GLLD017;93;93;27;54;88;11.688311688;11.320754717;11.35483871;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";HSLD001;75;75;29;37;66;12.554112554;7.7568134172;8.5161290323;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";QZJB002;63;63;31;32;62;13.41991342;6.7085953878;8;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";HSLF002;26;26;13;16;24;5.6277056277;3.3542976939;3.0967741935;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";ANMP001;11;11;9;9;10;3.8961038961;1.8867924528;1.2903225806;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";JDKD002;10;10;6;7;8;2.5974025974;1.4675052411;1.0322580645;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";HSLD002;8;8;5;5;8;2.1645021645;1.0482180294;1.0322580645;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";JDLD001;6;6;5;5;6;2.1645021645;1.0482180294;0.7741935484;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";GELD005;4;4;4;4;4;1.7316017316;0.8385744235;0.5161290323;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";GGJB001;4;4;1;1;2;0.4329004329;0.2096436059;0.2580645161;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";GLLD012;3;3;3;3;3;1.2987012987;0.6289308176;0.3870967742;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";GLLD019;3;3;1;1;3;0.4329004329;0.2096436059;0.3870967742;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";FELF001;1;1;1;1;1;0.4329004329;0.2096436059;0.1290322581;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";FELF011;1;1;1;1;1;0.4329004329;0.2096436059;0.1290322581;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";GGJB002;1;1;1;1;1;0.4329004329;0.2096436059;0.1290322581;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";JDJD001;1;1;1;1;1;0.4329004329;0.2096436059;0.1290322581;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:20";="020000022";Total;310;310;112;155;253;48.484848485;32.49475891;32.64516129;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:27";="590048476";ANMP001;108;108;108;108;108;9.7122302158;7.4431426602;5.561277034;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:27";="590048476";Total;108;108;108;108;108;9.7122302158;7.4431426602;5.561277034;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";DEQP004;372;372;27;46;51;1.1033919085;1.6709044679;1.6149461685;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";QZRB001;53;54;30;34;36;1.2259910094;1.2350163458;1.1399620013;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";GLQP005;29;29;4;7;8;0.1634654679;0.2542680712;0.2533248892;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";ANMP001;19;19;3;3;4;0.1225991009;0.1089720305;0.1266624446;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";GLQP001;18;18;4;5;5;0.1634654679;0.1816200509;0.1583280557;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";EPLF002;1;1;1;1;1;0.040866367;0.0363240102;0.0316656111;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:15";="590780193";Total;492;493;64;89;98;2.6154474867;3.2328369052;3.1032298923;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";QZGA010;187;187;187;187;187;22.777101096;12.729748128;9.8628691983;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";ANMP001;148;148;102;146;146;12.423873325;9.9387338325;7.7004219409;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";HSLD001;80;80;18;26;34;2.1924482339;1.7699115044;1.7932489451;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";HSLF002;37;37;7;22;25;0.8526187576;1.4976174268;1.3185654008;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";HSLD002;12;12;4;5;8;0.4872107186;0.340367597;0.4219409283;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";FELF011;2;2;1;2;2;0.1218026797;0.1361470388;0.1054852321;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";HSLF001;1;1;1;1;1;0.1218026797;0.0680735194;0.052742616;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:14";="590782652";Total;467;467;313;385;399;38.124238733;26.208304969;21.044303797;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:26";="600100713";GLLD017;803;803;55;77;77;14.030612245;13.321799308;13.321799308;2022.11;X600100713;22DEC22;15:00:15
