"champ";"statut";"annee";"periode";"date du resultat";"ipe";diags;mpca;nb;nbrapss;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:35";="020000022";G8100;13;1;1;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:50";="590048476";Y839;09;1;1;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:34";="590780193";O800;21;1;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:34";="590780193";O811;21;1;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:29";="590782652";V499;11;1;1;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2023/01/03 14:07:40";="800000028";U829+0;03;1;4;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:33";="800000036";R53+0;05;1;2;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:33";="800000036";Y842;17;1;2;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/28 15:59:42";="800000085";K509;05;1;1;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:46";="800000093";R53+0;13;1;1;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:46";="800000093";R53+2;05;1;1;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:39";="800000523";G8100;13;1;3;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:39";="800000523";G952;05;1;1;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:39";="800000523";R262;05;1;1;2022.11;X800000523;22DEC22;10:53:02
