"champ";"statut";"annee";"periode";"date du resultat";"ipe";desc_taux;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:46";="800000093";2;3;1.185770751;19;0.313945803;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:46";="800000093";4;77;30.434782609;1173;19.382022472;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:46";="800000093";8;173;68.37944664;4860;80.304031725;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:24";="600100713";4;33;7.5514874142;933;8.967704729;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:24";="600100713";8;404;92.448512586;9471;91.032295271;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:01";="800000523";8;1487;100;95791;100;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:06";="800000036";4;19;10.98265896;248;4.7094568933;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:06";="800000036";8;154;89.01734104;5018;95.290543107;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:02";="800000077";4;16;14.678899083;339;8.599695586;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:02";="800000077";8;93;85.321100917;3603;91.400304414;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:30";="800000069";2;29;10.622710623;2250;21.944796645;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:30";="800000069";4;24;8.7912087912;987;9.6264507949;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:30";="800000069";8;220;80.586080586;7016;68.42875256;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:29";="590782652";4;62;6.9351230425;1203;7.1074087203;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:29";="590782652";8;832;93.064876957;15723;92.89259128;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:15";="020000022";4;19;7.6;648;6.1236061236;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:15";="020000022";8;231;92.4;9934;93.876393876;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:00";="800000085";4;8;4.1450777202;251;3.5719368151;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:00";="800000085";8;185;95.85492228;6776;96.428063185;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:18";="590048476";4;108;8.9330024814;1411;7.5201193839;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:18";="590048476";8;1101;91.066997519;17352;92.479880616;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:46";="800000028";4;23;8.273381295;669;7.439119315;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:46";="800000028";8;255;91.726618705;8324;92.560880685;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";2;45;1.6741071429;766;3.2929240822;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";4;91;3.3854166667;1374;5.9066288367;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:05";="590780193";8;2552;94.94047619;21122;90.800447081;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:49";="600100721";4;14;4.5307443366;339;4.4441531201;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:49";="600100721";8;295;95.469255663;7289;95.55584688;2022.12;X600100721;13FEB23;16:00:35
