"champ";"statut";"annee";"periode";"date du resultat";"ipe";nat_sej;mpcp;mpca;nb;nbrapss;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/02/02 14:56:38";="590048476";07;02;19;2;3;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/06 14:15:38";="590780193";03;22;00;10;11;2022.12;X590780193;06FEB23;14:14:49
