"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2023/01/03 14:07:32";="800000028";;;;;;;;;;;0;;;;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:32";="800000028";99;3;2;11;;30;14.727272727;4.8181818182;90;0;1;2;2;5.5;100;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:26";="800000036";08;20;18;143;86.144578313;40;9.2377622378;4.7762237762;83.223776224;17.482517483;4;17;17;8.4117647059;86.144578313;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:26";="800000036";03;2;2;21;12.65060241;40;9.1428571429;3.0476190476;82.285714286;100;2;2;2;10.5;98.795180723;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:26";="800000036";04;1;1;2;1.2048192771;20;16;8;85;100;1;1;1;2;100;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:26";="800000036";;;;;;;;;;;0;;;;;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:26";="800000036";99;23;21;166;;40;9.3072289157;4.5963855422;83.126506024;34.782608696;4;20;20;8.3;100;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:32";="800000069";08;5;4;44;100;40;8.0909090909;2;89.409090909;100;2;4;4;11;100;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:32";="800000069";;;;;;;;;;;0;;;;;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:32";="800000069";99;5;4;44;;40;8.0909090909;2;89.409090909;100;2;4;4;11;100;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:43";="800000077";03;2;2;24;40.677966102;30;16;8;97.333333333;100;1;2;2;12;40.677966102;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:43";="800000077";08;3;3;19;32.203389831;50;15.684210526;7.4210526316;82.210526316;100;3;3;3;6.3333333333;72.881355932;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:43";="800000077";04;2;1;16;27.118644068;40;15;5;84;0;1;1;1;16;100;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:43";="800000077";;;;;;;;;;;0;;;;;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:43";="800000077";99;7;6;59;;40;15.627118644;7;88.847457627;71.428571429;3;6;6;9.8333333333;100;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:36";="800000085";08;6;5;36;49.315068493;30;13.277777778;6.1111111111;82.777777778;100;1;3;3;12;49.315068493;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:36";="800000085";04;2;1;29;39.726027397;20;16;8;89;100;1;1;1;29;89.04109589;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:36";="800000085";03;1;1;8;10.95890411;30;15;4;72;100;1;1;1;8;100;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:36";="800000085";;;;;;;;;;;0;;;;;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/28 15:59:36";="800000085";99;9;7;73;;30;14.547945205;6.6301369863;84.068493151;100;1;5;5;14.6;100;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:36";="800000093";08;28;20;216;54.822335025;50;8.1990740741;3.537037037;81.625;68.981481481;3;20;17;10.705882353;54.822335025;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:36";="800000093";03;26;19;176;44.670050761;30;10.409090909;4.5738636364;72.193181818;100;3;19;16;9;99.492385787;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:36";="800000093";04;1;1;2;0.5076142132;10;16;8;98;100;1;1;1;2;100;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:36";="800000093";;;;;;;;;;;0;;;;;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/27 14:51:36";="800000093";99;55;40;394;;40;9.2258883249;4.0228426396;77.494923858;83.636363636;4;37;34;9.6470588235;100;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:28";="800000523";08;62;28;1152;84.581497797;30;14.123263889;4.4652777778;78.622395833;100;2;22;15;47.6;84.581497797;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:28";="800000523";04;16;13;210;15.418502203;20;15.238095238;6.4714285714;92;79.523809524;2;8;4;30.25;100;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:28";="800000523";;;;;;;;;;;0;;;;;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:28";="800000523";99;78;41;1362;;30;14.295154185;4.7745961821;80.685022026;97.435897436;2;28;19;43.947368421;100;2022.11;X800000523;22DEC22;10:53:02
