"champ";"statut";"annee";"periode";"date du resultat";"ipe";contrat;COUNT;PERCENT;count1;percent1;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";Non renseigné;216;93.506493506;9727;98.911938174;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:21";="020000022";89 : Bénéficiaire de la CMU complémentaire (en cours);15;6.4935064935;107;1.0880618263;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:30";="590048476";Non renseigné;1112;100;17168;100;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";Non renseigné;2385;97.466285247;20178;94.263290666;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:16";="590780193";89 : Bénéficiaire de la CMU complémentaire (en cours);62;2.5337147528;1228;5.7367093338;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";Non renseigné;810;98.660170524;15113;97.768145944;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";87 : Sortants du dispositif CMUC (géré par un organisme complémentaire);1;0.1218026797;18;0.1164445595;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:15";="590782652";89 : Bénéficiaire de la CMU complémentaire (en cours);10;1.2180267966;327;2.1154094967;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:28";="600100713";Non renseigné;392;100;9772;100;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:39";="600100721";Non renseigné;278;98.233215548;6905;98.488090144;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:39";="600100721";89 : Bénéficiaire de la CMU complémentaire (en cours);5;1.7667844523;106;1.5119098559;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:24";="800000028";Non renseigné;258;100;8167;100;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";Non renseigné;162;99.386503067;4838;99.732014018;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 09:39:18";="800000036";89 : Bénéficiaire de la CMU complémentaire (en cours);1;0.6134969325;13;0.2679859823;2022.11;X800000036;22DEC22;9:39:05
"had";"dgf";"2022";"11";"2022/12/22 12:54:23";="800000069";Non renseigné;239;94.466403162;8737;93.714469591;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/22 12:54:23";="800000069";89 : Bénéficiaire de la CMU complémentaire (en cours);14;5.5335968379;586;6.2855304087;2022.11;X800000069;22DEC22;12:54:07
"had";"dgf";"2022";"11";"2022/12/26 10:01:37";="800000077";Non renseigné;98;98;3556;99.301870986;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/26 10:01:37";="800000077";89 : Bénéficiaire de la CMU complémentaire (en cours);2;2;25;0.6981290142;2022.11;X800000077;26DEC22;10:01:24
"had";"dgf";"2022";"11";"2022/12/28 15:59:28";="800000085";Non renseigné;174;100;6512;100;2022.11;X800000085;28DEC22;15:59:16
"had";"dgf";"2022";"11";"2022/12/27 14:51:27";="800000093";Non renseigné;231;100;5481;100;2022.11;X800000093;27DEC22;14:51:09
"had";"dgf";"2022";"11";"2022/12/22 10:53:18";="800000523";Non renseigné;1384;100;88476;100;2022.11;X800000523;22DEC22;10:53:02
