"champ";"statut";"annee";"periode";"date du resultat";"ipe";ght;nbj;pctj;valobr;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";22;32;0.3148676572;14062.286016;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";23;163;1.6038571288;73796.582124;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";24;37;0.3640657286;17783.923536;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";25;393;3.8669684148;183647.73833;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";26;21;0.2066319;10863.916686;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";27;36;0.3542261143;19234.178112;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";28;16;0.1574338286;8856.153504;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";30;6;0.0590376857;3497.883672;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";31;16;0.1574338286;9687.719016;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:46";="600100713";90;10163;100;2639818.1559;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";01;147;0.1546196567;8811.701115;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";02;81;0.0851985863;6287.995089;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";03;58;0.0610063952;5545.250254;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";04;138;0.1451531471;15642.606498;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";05;1060;1.1149444631;138275.55511;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";06;2469;2.5969791316;366268.08244;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";07;9391;9.8777768428;1556825.0533;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";08;11999;12.620960956;2195487.1529;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";09;12043;12.667241669;2416728.2764;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";10;9252;9.7315718613;2011022.1653;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";11;8640;9.087849209;2025860.7286;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";12;7201;7.5742595086;1823539.3427;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";13;7432;7.8172332548;2015209.2409;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";14;5512;5.7977112083;1583438.348;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";15;6000;6.3110063952;1834579.1319;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";16;3478;3.6582800404;1124164.5551;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";17;2338;2.4591888253;798104.86376;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";18;1222;1.2853416358;439358.68617;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";19;1540;1.6198249748;577881.91231;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";20;644;0.6773813531;254932.48413;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";21;1115;1.1727953551;459584.72755;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";22;142;0.1493604847;61395.755465;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";23;1572;1.6534836755;702971.83225;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";24;158;0.1661898351;73430.823468;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";25;671;0.7057808819;322082.93665;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";26;105;0.1104426119;52825.42827;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";27;299;0.3144984854;155307.61221;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";28;33;0.0347105352;17828.301051;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";29;4;0.0042073376;2232.334624;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";30;128;0.1346348031;73466.435706;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";31;200;0.2103668798;118274.44925;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:32";="800000523";90;95072;100;23237363.769;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";05;129;2.4745827738;17258.3712;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";06;396;7.5963936313;59615.026518;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";07;567;10.876654518;96073.454964;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";08;356;6.8290811433;61580.221686;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";09;398;7.6347592557;78678.68613;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";10;620;11.893343564;136264.17842;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";11;312;5.9850374065;73514.866068;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";12;214;4.1051218109;55230.129756;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:32";="800000036";13;625;11.989257625;164155.01936;2022.12;X800000036;26JAN23;14:45:52
