"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;nb;nbok;montant;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400893530597;9353059;9353059;17;17;28.628;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400893530719;9353071;9353071;3;3;4.44;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400893958100;9395810;9395810;21;21;7815.246;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400894139560;9413956;9413956;124;124;11587.267;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400894187356;9418735;9418735;62;62;7279.73;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400894332848;9433284;9433284;127;127;4369.88;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:55";="600100713";3400894332909;9433290;9433290;187;187;7386.788;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400891501551;9150155;9150155;6;6;540;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400891713121;9171312;9171312;2;2;867.48;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400891863482;9186348;9186348;1;1;266.437;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400892505725;9250572;9250572;29;29;799.46;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400892977119;9297711;9297711;7;7;20.72;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400893393260;9339326;9339326;7;7;537.15;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400893530658;9353065;9353065;7;7;11.44;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400893875612;9387561;9387561;30;30;1657.71;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400894029298;9402929;9402929;16;16;884.11;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:23:04";="600100721";3400894081975;9408197;9408197;31;31;5236.65;2022.11;X600100721;02JAN23;9:22:25
