"champ";"statut";"annee";"periode";"date du resultat";"ipe";finess_esms;nbjtot;nbje;nbjsupp;nbjsupp2;nbjval;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:05";="800000093";800002255;114;114;0;0;114;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:05";="800000093";800004160;391;390;0;0;390;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:05";="800000093";800006181;18;18;0;0;18;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:05";="800000093";800010571;232;232;0;0;232;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600000376;9;9;0;0;9;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600009732;12;12;0;0;12;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600010557;184;184;0;0;184;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600100572;30;30;0;0;30;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600101323;58;58;0;0;58;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600101331;25;25;0;0;25;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600101513;81;81;0;0;81;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600102636;15;14;0;14;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600102792;45;45;0;0;45;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600103105;15;15;0;0;15;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600105308;93;91;0;91;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600111066;31;31;0;0;31;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600111405;113;111;0;0;111;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:45";="600100713";600111827;38;38;0;38;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800000762;60;59;0;0;59;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800002321;92;91;0;0;91;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800002974;47;47;0;0;47;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800003915;22;22;0;0;22;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800004228;248;247;0;0;247;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800004251;71;71;0;0;71;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800005456;537;535;0;0;535;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800009052;44;43;0;0;43;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800010282;41;40;0;0;40;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800010472;238;238;0;0;238;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800010589;8;8;0;0;8;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800016966;57;57;0;0;57;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800020422;12;12;0;0;12;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:31";="800000523";800079741;107;106;0;0;106;2022.12;X800000523;26JAN23;11:33:47
