"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";04;149;98;1754;28.98215466;30;13.053021665;4.6898517674;78.117445838;73.945267959;63;74;63;23.873015873;28.98215466;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";03;127;92;1138;18.803701256;40;9.658172232;3.7144112478;70.55711775;76.9771529;84;91;75;12.08;47.785855915;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";09;69;35;1136;18.770654329;50;6.9410211268;2.4383802817;64.872359155;29.665492958;44;35;28;28.785714286;66.556510245;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";06;24;9;459;7.5842696629;40;14.840958606;4.5795206972;83.374727669;96.732026144;13;8;4;17.25;74.140779907;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";02;41;29;453;7.485128883;30;12.278145695;4.766004415;83.267108168;93.377483444;37;28;20;16.8;81.62590879;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";14;19;7;370;6.1136814276;40;12.818918919;2.2;74.940540541;100;18;7;5;34.4;87.739590218;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";07;14;6;237;3.9160608063;40;11.438818565;2.0421940928;60.240506329;93.248945148;11;6;6;39.5;91.655651024;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";08;28;20;216;3.5690680767;50;8.1990740741;3.537037037;81.625;68.981481481;13;20;17;10.705882353;95.224719101;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";01;8;2;185;3.0568407138;30;11.037837838;2;55.091891892;100;6;2;2;92.5;98.281559815;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";13;6;2;99;1.6358228685;40;4.7272727273;2;60.454545455;100;5;2;1;12;99.917382683;2022.12;X800000093;17JAN23;14:56:34
