"champ";"statut";"annee";"periode";"date du resultat";"ipe";dmpa;N;nbj;pctj;nbsej;nbj2;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";J96;99;1300;18.854242204;37;0;18.854242204;J96;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";R26;50;901;13.067440174;16;0;31.921682379;R26;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";L89;44;636;9.224075417;14;0;41.145757796;L89;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";Z93;17;400;5.8013052937;4;36;46.947063089;Z93;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";Z08;59;321;4.6555474982;15;0;51.602610587;Z08;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";G82;18;306;4.4379985497;4;0;56.040609137;G82;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";E46;19;273;3.9593908629;10;0;60;E46;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";R53;22;273;3.9593908629;7;10;63.959390863;R53;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";F32;13;238;3.4517766497;4;42;67.411167513;F32;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";J44;20;227;3.2922407542;2;19;70.703408267;J44;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";E43;21;215;3.1182015954;13;0;73.821609862;E43;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:19";="020000022";S21;8;203;2.9441624365;2;0;76.765772299;S21;2022.11;X020000022;27DEC22;13:05:07
