"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;karnof;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 11:34:28";="800000523";22;60;8;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/02/06 14:15:39";="590780193";22;90;1;2022.12;X590780193;06FEB23;14:14:49
