"champ";"statut";"annee";"periode";"date du resultat";"ipe";combmpc;mpcp;mpca;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;pctcum;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0900;09;00;75;28;1517;15.426072809;50;6.3065260382;2.0764667106;54.844429796;127;15.426072809;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0409;04;09;69;36;1033;10.504372585;30;13.300096805;4.6534365924;80.704743466;135;25.930445394;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1411;14;11;50;22;842;8.5621313809;40;13.523752969;3.567695962;81.878859857;74;34.492576774;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0406;04;06;56;33;784;7.9723408582;30;15.057397959;6.612244898;59.49744898;97;42.464917633;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0400;04;00;55;34;757;7.6977832011;30;13.891677675;4.9220607662;76.35667107;108;50.162700834;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0401;04;01;54;37;565;5.745373195;30;14.584070796;5.0247787611;84.394690265;136;55.908074029;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0614;06;14;20;7;397;4.0370144397;20;15.59697733;3.8060453401;60.926952141;48;59.945088469;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1000;10;00;28;18;375;3.8133007932;50;6.7013333333;2.1813333333;62.064;72;63.758389262;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0402;04;02;33;23;321;3.264185479;40;10.925233645;2.753894081;68.638629283;92;67.022574741;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1401;14;01;20;11;316;3.2133414684;40;12.952531646;4.0506329114;81.598101266;75;70.235916209;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";1400;14;00;12;5;269;2.735407769;30;14.918215613;5.3382899628;81.219330855;26;72.971323978;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0901;09;01;22;14;247;2.5116941224;40;11.55465587;5.7125506073;84.963562753;29;75.4830181;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";0801;08;01;11;3;242;2.4608501119;30;12.194214876;4.2892561983;96.429752066;12;77.943868212;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:16";="020000022";;98;;505;271;7665;;40;12.17464904;4.1852492078;72.520030318;450;77.943868212;;2022.11;X020000022;27DEC22;13:05:07
