"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;indication;code1;dep22;dep22_aut;nb22;ecart;dep22_val;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/02/06 14:15:50";="590780193";3400890006576;9000657;I000535;9000657;13326.9;13379.184;3;26.142;13353.042;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:50";="590780193";3400890006576;9000657;I999999;9000657;4442.3;4459.728;1;8.714;4451.014;2022.12;X590780193;06FEB23;14:14:49
