"champ";"statut";"annee";"periode";"date du resultat";"ipe";diagp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:53";="800000093";;;;;;;;;;;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:53";="800000093";Tot;0;0;;;;;;;;0;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:33";="600100713";;;;;;;;;;;;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:33";="600100713";Tot;0;0;;;;;;;;0;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:11";="800000523";;;;;;;;;;;;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:11";="800000523";Tot;0;0;;;;;;;;0;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:17";="800000036";;;;;;;;;;;;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:17";="800000036";Tot;0;0;;;;;;;;0;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:10";="800000077";;;;;;;;;;;;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:10";="800000077";Tot;0;0;;;;;;;;0;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:42";="800000069";;;;;;;;;;;;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:42";="800000069";Tot;0;0;;;;;;;;0;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:41";="590782652";;;;;;;;;;;;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:41";="590782652";Tot;0;0;;;;;;;;0;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:22";="020000022";;;;;;;;;;;;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:22";="020000022";Tot;0;0;;;;;;;;0;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:09";="800000085";;;;;;;;;;;;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:09";="800000085";Tot;0;0;;;;;;;;0;;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:27";="590048476";;;;;;;;;;;;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:27";="590048476";Tot;0;0;;;;;;;;0;;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:56:58";="800000028";;;;;;;;;;;;;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:56:58";="800000028";Tot;0;0;;;;;;;;0;;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:16";="590780193";;;;;;;;;;;;;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:16";="590780193";Tot;0;0;;;;;;;;0;;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:00:59";="600100721";;;;;;;;;;;;;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:00:59";="600100721";Tot;0;0;;;;;;;;0;;2022.12;X600100721;13FEB23;16:00:35
