"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;dep22;dep22_aut;nb22;ecart;dep22_val;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400890004022;9000402;9000402;I000374;2025.664;2782.712;32;378.524;2404.188;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400893126523;9312652;9312652;I000474;5615.5;5615.5;10;0;5615.5;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400893126691;9312669;9312669;I000474;11231;11231;10;0;11231;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400893126752;9312675;9312675;I000474;2807.785;2807.75;10;-0.035;2807.75;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400893951125;9395112;9395112;I000474;67386;67386;30;-9.09495E-12;67386;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400894237884;9423788;9423788;I000390;22696.83;37711.656;19;7507.413;30204.243;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400894555063;9455506;9455506;I000374;2450.4;3577.776;48;563.688;3014.088;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400892182612;9218261;9218261;I000015;5520.6;5520.555;45;-0.045;5520.555;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400893475966;9347596;9347596;I000418;11231;11231;20;-2.27374E-13;11231;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400893475966;9347596;9347596;I999999;2807.75;2807.75;5;0;2807.75;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400893476048;9347604;9347604;I000418;21338.9;21338.9;19;-4.54747E-13;21338.9;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400893476048;9347604;9347604;I999999;5615.5;5615.5;5;0;5615.5;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400893843734;9384373;9384373;I000088;262;261.984;4;-0.016;261.984;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400893843734;9384373;9384373;I999998;458.5;458.472;7;-0.028;458.472;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400894187356;9418735;9418735;I000507;7279.74;7279.73;62;-0.01;7279.73;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400894187356;9418735;9418735;I999998;13620.36;13620.14;116;-0.22;13620.14;2022.12;X800000523;26JAN23;11:33:47
