"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;mpca;age2;nb;nbrapss;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:39";="590780193";22;00;0;2;2;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/22 10:53:43";="800000523";22;00;0;4;5;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:43";="800000523";22;15;0;2;2;2022.11;X800000523;22DEC22;10:53:02
"had";"dgf";"2022";"11";"2022/12/22 10:53:43";="800000523";22;25;0;1;1;2022.11;X800000523;22DEC22;10:53:02
