"champ";"statut";"annee";"periode";"date du resultat";"ipe";diagp1;N;nbj;pctj;nbsej;pctcum;code;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";U07;56;407;6.7250495704;38;6.7250495704;U07;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";C15;25;361;5.9649702578;7;12.690019828;C15;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";I64;17;323;5.3370786517;5;18.02709848;I64;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";R13;12;305;5.039656312;2;23.066754792;R13;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";I50;17;252;4.1639127561;9;27.230667548;I50;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";S98;17;245;4.0482485129;8;31.278916061;S98;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";C76;9;208;3.4368803701;2;34.715796431;C76;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";C71;13;203;3.3542630535;6;38.070059484;C71;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";C34;18;191;3.1559814937;10;41.226040978;C34;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";G47;7;178;2.9411764706;1;44.167217449;G47;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";S78;7;169;2.7924653007;2;46.95968275;S78;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";J18;24;164;2.7098479841;19;49.669530734;J18;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";I70;13;162;2.6768010575;6;52.346331791;I70;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";C64;9;160;2.6437541309;4;54.990085922;C64;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";G30;16;145;2.3959021811;9;57.385988103;G30;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";D46;8;130;2.1480502313;4;59.534038334;D46;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";G12;8;129;2.131526768;3;61.665565102;G12;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";L98;7;125;2.0654329147;4;63.730998017;L98;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";C50;15;118;1.9497686715;7;65.680766689;C50;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";B99;6;104;1.7184401851;3;67.399206874;B99;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";C41;6;97;1.6027759418;1;69.001982816;C41;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";E46;7;90;1.4871116986;4;70.489094514;E46;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";K83;5;88;1.454064772;1;71.943159286;K83;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";S88;4;86;1.4210178453;1;73.364177132;S88;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";R53;10;80;1.3218770654;5;74.686054197;R53;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";G20;9;75;1.2392597488;5;75.925313946;G20;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";J90;3;74;1.2227362855;1;77.148050231;J90;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";N30;7;72;1.1896893589;4;78.33773959;N30;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";S32;4;70;1.1566424323;2;79.494382022;S32;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";80%;359;4811;;171;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:43";="800000093";Tot;486;6052;;253;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C78;22;628;6.0361399462;6;6.0361399462;C78;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C34;36;527;5.0653594771;22;11.101499423;C34;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";T81;19;512;4.9211841599;17;16.022683583;T81;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";I70;19;470;4.5174932718;15;20.540176855;I70;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";J91;22;468;4.4982698962;7;25.038446751;J91;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C50;17;400;3.844675125;12;28.883121876;C50;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";F03;18;360;3.4602076125;14;32.343329489;F03;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C67;12;345;3.3160322953;8;35.659361784;C67;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C18;14;335;3.2199154171;7;38.879277201;C18;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C25;25;311;2.9892349097;12;41.868512111;C25;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";U07;24;301;2.8931180315;18;44.761630142;U07;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";R52;33;272;2.614379085;29;47.376009227;R52;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";L97;11;247;2.3740868897;11;49.750096117;L97;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C61;20;215;2.0665128797;11;51.816608997;C61;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";I50;16;207;1.9896193772;11;53.806228374;I50;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C12;18;206;1.9800076894;5;55.786236063;C12;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C92;25;205;1.9703960015;24;57.756632065;C92;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C20;14;201;1.9319492503;7;59.688581315;C20;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";J90;2;190;1.8262206844;1;61.514801999;J90;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";I33;5;187;1.7973856209;5;63.31218762;I33;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";Z93;6;157;1.5090349865;2;64.821222607;Z93;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C32;3;144;1.384083045;1;66.205305652;C32;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C22;9;134;1.2879661669;4;67.493271819;C22;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C71;8;134;1.2879661669;6;68.781237985;C71;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";T85;11;134;1.2879661669;8;70.069204152;T85;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";P77;3;127;1.2206843522;3;71.289888504;P77;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C16;12;123;1.1822376009;4;72.472126105;C16;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";C90;3;122;1.1726259131;2;73.644752018;C90;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";G82;3;105;1.0092272203;3;74.653979239;G82;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:21";="600100713";G30;13;102;0.9803921569;9;75.634371396;G30;2022.12;X600100713;26JAN23;9:22:12
