"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:54";="800000093";;;;;;;;;;;;;;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:54";="800000093";99;0;0;;;;;;;;0;0;0;;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:33";="600100713";;;;;;;;;;;;;;;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:33";="600100713";99;0;0;;;;;;;;0;0;0;;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:12";="800000523";08;14;5;308;53.752181501;30;14.126623377;5.1558441558;66.711038961;100;2;3;;;53.752181501;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:12";="800000523";04;11;6;160;27.923211169;20;15.31875;7.1125;86.8625;100;3;3;3;53.333333333;81.67539267;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:12";="800000523";12;5;2;105;18.32460733;50;7.6571428571;2.4571428571;45.485714286;100;1;2;1;57;100;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:12";="800000523";;;;;;;;;;;0;;;;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:12";="800000523";99;30;13;573;;30;13.27399651;5.2076788831;68.448516579;100;6;8;4;54.25;100;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:17";="800000036";;;;;;;;;;;;;;;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:17";="800000036";99;0;0;;;;;;;;0;0;0;;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:10";="800000077";;;;;;;;;;;;;;;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:10";="800000077";99;0;0;;;;;;;;0;0;0;;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:43";="800000069";02;21;13;259;78.484848485;50;10.088803089;2.4092664093;33.888030888;100;3;11;9;26.666666667;78.484848485;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:43";="800000069";03;6;3;40;12.121212121;50;10.45;2.45;34;100;3;3;1;22;90.606060606;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:43";="800000069";06;1;1;31;9.3939393939;40;16;4;73;100;1;1;;;100;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:43";="800000069";;;;;;;;;;;0;;;;;2022.12;X800000069;27JAN23;16:29:15
