"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;mpcacodm;nbcim;nbsej;nbsejc;dms;pctcum;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/27 13:05:30";="020000022";04;2;1;42;46.153846154;30;16;6;97;100;1;1;;;46.153846154;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:30";="020000022";14;2;1;37;40.659340659;30;16;6;97;100;1;1;;;86.813186813;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:30";="020000022";06;4;4;12;13.186813187;30;15;4;61;100;1;4;4;3;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:30";="020000022";;;;;;;;;;;0;;;;;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/27 13:05:30";="020000022";99;8;6;91;;30;15.868131868;5.7362637363;92.252747253;100;3;5;4;3;100;2022.11;X020000022;27DEC22;13:05:07
"had";"dgf";"2022";"11";"2022/12/30 15:37:42";="590048476";04;1;1;2;66.666666667;40;15;4;90;100;1;1;1;2;66.666666667;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:42";="590048476";08;1;1;1;33.333333333;50;5;4;69;0;1;1;1;1;100;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:42";="590048476";;;;;;;;;;;0;;;;;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 15:37:42";="590048476";99;2;2;3;;40;11.666666667;4;83;50;2;2;2;1.5;100;2022.11;X590048476;30DEC22;15:37:12
"had";"dgf";"2022";"11";"2022/12/30 11:03:26";="590780193";19;6;3;121;84.615384615;60;7.5867768595;2;30.933884298;0;1;2;2;60.5;84.615384615;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:26";="590780193";03;1;1;11;7.6923076923;50;10;2;63;100;1;1;1;11;92.307692308;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:26";="590780193";08;3;3;11;7.6923076923;90;7.0909090909;2;0.1061021171;9.0909090909;1;1;1;11;100;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:26";="590780193";;;;;;;;;;;0;;;;;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:26";="590780193";99;10;7;143;;60;7.7342657343;2;31.029140722;20;3;4;4;35.75;100;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/29 12:11:24";="590782652";;;;;;;;;;;;;;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/29 12:11:24";="590782652";99;0;0;;;;;;;;0;0;0;;;2022.11;X590782652;29DEC22;12:11:02
"had";"dgf";"2022";"11";"2022/12/22 15:00:37";="600100713";;;;;;;;;;;;;;;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2022/12/22 15:00:37";="600100713";99;0;0;;;;;;;;0;0;0;;;2022.11;X600100713;22DEC22;15:00:15
"had";"dgf";"2022";"11";"2023/01/02 09:22:49";="600100721";;;;;;;;;;;;;;;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/02 09:22:49";="600100721";99;0;0;;;;;;;;0;0;0;;;2022.11;X600100721;02JAN23;9:22:25
"had";"dgf";"2022";"11";"2023/01/03 14:07:34";="800000028";09;4;1;84;100;60;4;2;71;0;1;1;1;84;100;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:34";="800000028";;;;;;;;;;;0;;;;;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2023/01/03 14:07:34";="800000028";99;4;1;84;;60;4;2;71;0;1;1;1;84;100;2022.11;X800000028;03JAN23;14:07:11
"had";"dgf";"2022";"11";"2022/12/22 09:39:27";="800000036";;;;;;;;;;;;;;;;2022.11;X800000036;22DEC22;9:39:05
