"champ";"statut";"annee";"periode";"date du resultat";"ipe";nat_sej;N;nbseq;nbj;pctj;ik;avqphysm;avqpsym;agem;nbcim;nbsej;pctcum;mpcacodm;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";08;165;90;2525;41.721744878;40;12.076435644;3.5346534653;75.401188119;86;71;41.721744878;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";07;181;119;1848;30.535360212;40;7.4199134199;3.0156926407;66.449675325;97;113;72.257105089;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";04;140;92;1679;27.742894911;30;12.921381775;4.5419892793;77.380583681;61;69;100;;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:41";="800000093";99;486;301;6052;;40;10.888962327;3.6556510245;73.216953073;172;253;100;72.427983539;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";04;348;348;4387;42.166474433;30;13.253248233;4.8550262138;75.801914748;166;222;42.166474433;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";08;173;173;3968;38.13917724;50;7.9054939516;2.7048891129;63.74088254;134;97;80.305651672;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";07;97;97;1290;12.399077278;50;5.8744186047;2.2713178295;66.839534884;93;85;92.70472895;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";05;53;53;759;7.2952710496;50;8.2951251647;3.2437417655;62.270666161;49;33;100;;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:20";="600100713";99;671;671;10404;;40;9.9370434448;3.5970780469;69.103542631;284;437;100;58.867362146;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:33:55";="800000523";08;3320;1543;63061;65.831863119;30;11.300344111;3.8863639968;69.194804596;820;851;65.831863119;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:55";="800000523";04;1993;1116;31469;32.851729286;30;13.566430455;5.1621913629;75.81572341;579;592;98.683592404;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:55";="800000523";01;86;49;1113;1.1619045631;50;14.204851752;6.6046720575;0.645413482;46;38;99.845496967;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:55";="800000523";06;3;1;78;0.081427274;30;12;4;86;6;1;99.926924241;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:55";="800000523";07;9;6;70;0.0730757587;40;8.5571428571;3.5285714286;74.2;15;5;100;;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:33:55";="800000523";99;5411;2715;95791;;30;12.077105365;4.3369105657;70.590754015;1106;1487;100;77.675106265;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:00";="800000036";08;165;91;2486;47.208507406;40;10.320595334;4.2441673371;70.304102977;69;48;47.208507406;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:00";="800000036";04;177;131;1786;33.91568553;30;14.727883539;4.8835386338;80.989361702;66;62;81.124192936;;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:00";="800000036";07;115;84;994;18.875807064;50;7.1891348089;2.8279678068;64.170020121;64;63;100;;2022.12;X800000036;26JAN23;14:45:52
