"champ";"statut";"annee";"periode";"date du resultat";"ipe";diags;nbrapss;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 14:46:22";="800000036";N419;2;1;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:22";="800000036";T140;1;1;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:14";="800000077";C140;1;1;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:14";="800000077";C439;5;1;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:14";="800000077";C459;1;1;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:14";="800000077";E108;12;3;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:14";="800000077";G629;2;1;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:14";="800000077";I99;16;4;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:14";="800000077";N19;5;2;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/30 11:42:48";="590782652";C579;4;4;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:48";="590782652";G319;31;21;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:48";="590782652";I259;5;5;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:48";="590782652";T130;1;1;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/02/01 15:50:15";="800000085";C439;1;1;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:15";="800000085";C55;15;7;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:15";="800000085";G319;1;1;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:15";="800000085";L089;7;4;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:15";="800000085";L599;4;3;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:15";="800000085";T019;11;3;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";B49;1;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";C390;19;13;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";C409;1;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";C459;1;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";C55;4;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";C579;1;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";C761;4;2;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";C763;2;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";E148;1;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";E149;17;13;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";I259;2;2;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";I519;2;2;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";I776;10;4;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";I809;1;1;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";K559;3;3;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:32";="590048476";K639;3;2;2022.12;X590048476;02FEB23;14:56:04
