"champ";"statut";"annee";"periode";"date du resultat";"ipe";nolig;n;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";11;109;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";1;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";2;3;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";3;106;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";4;106;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";12;3763;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";5;88;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";6;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";6b;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";10;;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";7;18;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";8;1;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:18";="800000077";9;5.5;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";11;273;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";1;0;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";2;0;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";3;273;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";4;273;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";12;10253;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";5;184;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";6;0;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";6b;0;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";10;;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";7;89;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";8;11;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:29:52";="800000069";9;7;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";11;894;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";1;0;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";2;0;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";3;894;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";4;894;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";12;16926;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";5;546;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";6;0;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";6b;0;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";10;;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";7;348;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";8;7;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:42:53";="590782652";9;13;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";11;250;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";1;0;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";2;0;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";3;250;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";4;250;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";12;10582;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";5;152;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";6;0;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";6b;0;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";10;;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";7;98;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";8;17;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:31";="020000022";9;9;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:19";="800000085";11;193;2022.12;X800000085;01FEB23;15:49:45
