"champ";"statut";"annee";"periode";"date du resultat";"ipe";diags;nbsej_diagp;nbseq_diagp;nbj_diagp;nbsej_dmpp;nbseq_dmpp;nbj_dmpp;nbsej_dmpa;nbseq_dmpa;nbj_dmpa;nbsej_das;nbseq_das;nbj_das;i;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:56:53";="800000093";U0710;12;13;132;15;16;211;3;3;32;0;0;0;13;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:53";="800000093";U0711;1;1;13;1;1;13;0;0;0;0;0;0;13;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:53";="800000093";U0712;1;1;7;1;1;7;0;0;0;0;0;0;13;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:56:53";="800000093";U0714;24;26;255;25;27;277;5;5;60;0;0;0;13;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:32";="600100713";U0710;16;22;283;2;2;8;6;6;40;1;1;11;13;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:32";="600100713";U0712;2;2;18;0;0;0;1;1;11;6;10;123;13;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:10";="800000523";U0710;26;40;1230;57;74;2260;6;7;207;0;0;0;13;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:10";="800000523";U0711;0;0;0;0;0;0;0;0;0;1;2;31;13;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:10";="800000523";U0712;0;0;0;0;0;0;0;0;0;1;4;298;13;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:10";="800000523";U0713;0;0;0;1;2;10;0;0;0;0;0;0;13;2022.12;X800000523;26JAN23;11:33:47
