"champ";"statut";"annee";"periode";"date du resultat";"ipe";code13;code;code1;indication;nombre;nb_nonval;nombre_et;nombre_pbind;nb_val;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400890004022;9000402;9000402;I000374;32;0;0;0;32;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400893126523;9312652;9312652;I000474;10;0;0;0;10;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400893126691;9312669;9312669;I000474;10;0;0;0;10;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400893126752;9312675;9312675;I000474;10;0;0;0;10;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400893951125;9395112;9395112;I000474;30;0;0;0;30;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400894237884;9423788;9423788;I000390;19;0;0;0;19;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:47";="600100713";3400894555063;9455506;9455506;I000374;48;0;0;0;48;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400892182612;9218261;9218261;I000015;45;0;0;0;45;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400893475966;9347596;9347596;I000418;20;0;0;0;20;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400893475966;9347596;9347596;I999999;5;0;0;0;5;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400893476048;9347604;9347604;I000418;19;0;0;0;19;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:33";="800000523";3400893476048;9347604;9347604;I999999;5;0;0;0;5;2022.12;X800000523;26JAN23;11:33:47
