"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;karnof;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:40";="590780193";22;90;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/22 10:53:44";="800000523";22;60;8;2022.11;X800000523;22DEC22;10:53:02
