"champ";"statut";"annee";"periode";"date du resultat";"ipe";libel;nb;nb1;nbsej;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";Nb journées transmises;0;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";Nb journées en erreur;0;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/17 14:57:10";="800000093";Nb journées valorisées;0;0;0;2022.12;X800000093;17JAN23;14:56:34
"had";"dgf";"2022";"12";"2023/01/26 09:22:49";="600100713";Nb journées transmises;0;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:49";="600100713";Nb journées en erreur;0;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:49";="600100713";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 09:22:49";="600100713";Nb journées valorisées;0;0;0;2022.12;X600100713;26JAN23;9:22:12
"had";"dgf";"2022";"12";"2023/01/26 11:34:36";="800000523";Nb journées transmises;0;0;0;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:36";="800000523";Nb journées en erreur;0;0;0;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:36";="800000523";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 11:34:36";="800000523";Nb journées valorisées;0;0;0;2022.12;X800000523;26JAN23;11:33:47
"had";"dgf";"2022";"12";"2023/01/26 14:46:34";="800000036";Nb journées transmises;0;0;0;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:34";="800000036";Nb journées en erreur;0;0;0;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:34";="800000036";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/26 14:46:34";="800000036";Nb journées valorisées;0;0;0;2022.12;X800000036;26JAN23;14:45:52
"had";"dgf";"2022";"12";"2023/01/27 07:44:23";="800000077";Nb journées transmises;0;0;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:23";="800000077";Nb journées en erreur;0;0;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:23";="800000077";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 07:44:23";="800000077";Nb journées valorisées;0;0;0;2022.12;X800000077;27JAN23;7:43:50
"had";"dgf";"2022";"12";"2023/01/27 16:30:01";="800000069";Nb journées transmises;0;0;0;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:30:01";="800000069";Nb journées en erreur;0;0;0;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:30:01";="800000069";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/27 16:30:01";="800000069";Nb journées valorisées;0;0;0;2022.12;X800000069;27JAN23;16:29:15
"had";"dgf";"2022";"12";"2023/01/30 11:43:01";="590782652";Nb journées transmises;0;0;0;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:43:01";="590782652";Nb journées en erreur;0;0;0;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:43:01";="590782652";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/30 11:43:01";="590782652";Nb journées valorisées;0;0;0;2022.12;X590782652;30JAN23;11:42:15
"had";"dgf";"2022";"12";"2023/01/31 11:17:40";="020000022";Nb journées transmises;0;0;0;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:40";="020000022";Nb journées en erreur;0;0;0;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:40";="020000022";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/01/31 11:17:40";="020000022";Nb journées valorisées;0;0;0;2022.12;X020000022;31JAN23;11:17:03
"had";"dgf";"2022";"12";"2023/02/01 15:50:26";="800000085";Nb journées transmises;0;0;0;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:26";="800000085";Nb journées en erreur;0;0;0;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:26";="800000085";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/01 15:50:26";="800000085";Nb journées valorisées;0;0;0;2022.12;X800000085;01FEB23;15:49:45
"had";"dgf";"2022";"12";"2023/02/02 14:56:45";="590048476";Nb journées transmises;0;0;0;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:45";="590048476";Nb journées en erreur;0;0;0;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:45";="590048476";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 14:56:45";="590048476";Nb journées valorisées;0;0;0;2022.12;X590048476;02FEB23;14:56:04
"had";"dgf";"2022";"12";"2023/02/02 15:57:19";="800000028";Nb journées transmises;0;0;0;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:19";="800000028";Nb journées en erreur;0;0;0;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:19";="800000028";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/02 15:57:19";="800000028";Nb journées valorisées;0;0;0;2022.12;X800000028;02FEB23;15:56:32
"had";"dgf";"2022";"12";"2023/02/06 14:15:49";="590780193";Nb journées transmises;269;31;22;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:49";="590780193";Nb journées en erreur;0;0;0;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:49";="590780193";Nb journées avec sortie transfert ou mutation;15;0;0;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/06 14:15:49";="590780193";Nb journées valorisées;254;31;22;2022.12;X590780193;06FEB23;14:14:49
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";Nb journées transmises;0;0;0;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";Nb journées en erreur;0;0;0;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";Nb journées avec sortie transfert ou mutation;0;0;0;2022.12;X600100721;13FEB23;16:00:35
"had";"dgf";"2022";"12";"2023/02/13 16:01:19";="600100721";Nb journées valorisées;0;0;0;2022.12;X600100721;13FEB23;16:00:35
