"champ";"statut";"annee";"periode";"date du resultat";"ipe";mpcp;mpca;nb;per_comp;finess_comp;date_comp;temp_comp
"had";"dgf";"2022";"11";"2022/12/30 11:03:34";="590780193";03;09;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:34";="590780193";04;07;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:34";="590780193";06;14;1;2022.11;X590780193;30DEC22;11:03:01
"had";"dgf";"2022";"11";"2022/12/30 11:03:34";="590780193";19;25;2;2022.11;X590780193;30DEC22;11:03:01
